#{"t_start": 1719344686.8203216, "env_id": "CartPoleAggregated-v1"}
r,l,t
15.0,15,0.703897
12.0,12,0.734295
18.0,18,2.508976
46.0,46,4.118274
20.0,20,5.599846
12.0,12,5.62425
26.0,26,7.079154
15.0,15,8.402915
14.0,14,8.430392
9.0,9,8.447163
27.0,27,12.768512
79.0,79,17.532762
23.0,23,17.58724
30.0,30,19.135924
58.0,58,22.492988
59.0,59,25.802039
64.0,64,28.998486
61.0,61,32.15357
101.0,101,37.171493
70.0,70,40.371556
138.0,138,46.968947
149.0,149,52.945465
183.0,183,60.632887
196.0,196,70.568204
383.0,383,85.934183
500.0,500,104.975817
500.0,500,124.766324
500.0,500,142.770798
500.0,500,163.435761
500.0,500,182.572089
500.0,500,201.96224
500.0,500,222.620895
500.0,500,241.967356
500.0,500,264.289452
500.0,500,282.116179
500.0,500,301.280023
500.0,500,322.275722
500.0,500,340.908207
500.0,500,362.32613
500.0,500,381.026426
500.0,500,399.399672
269.0,269,411.481093
500.0,500,429.895079
500.0,500,449.768222
500.0,500,469.975096
500.0,500,489.371065
220.0,220,498.344893
