#{"t_start": 1719344686.8167737, "env_id": "CartPoleAggregated-v1"}
r,l,t
17.0,17,0.712587
48.0,48,4.06481
14.0,14,4.096128
16.0,16,4.130409
45.0,45,7.062475
33.0,33,8.42399
30.0,30,12.745714
117.0,117,17.600402
48.0,48,20.765682
23.0,23,22.464387
18.0,18,22.50798
93.0,93,27.379853
48.0,48,30.586364
96.0,96,35.566166
65.0,65,38.746547
10.0,10,38.7785
66.0,66,41.975047
152.0,152,48.596828
271.0,271,59.228479
244.0,244,72.143851
159.0,159,79.210143
226.0,226,87.469406
393.0,393,101.560351
198.0,198,109.113454
500.0,500,129.547062
500.0,500,148.322673
500.0,500,168.471308
500.0,500,188.111874
500.0,500,207.796547
500.0,500,227.484051
500.0,500,247.568683
500.0,500,268.640005
500.0,500,287.092332
500.0,500,306.838277
500.0,500,327.348176
500.0,500,346.348517
500.0,500,368.000275
500.0,500,386.022501
500.0,500,404.386566
500.0,500,424.160147
500.0,500,443.500125
500.0,500,465.61978
500.0,500,484.325284
500.0,500,503.201045
