#{"t_start": 1719344686.8186648, "env_id": "CartPoleAggregated-v1"}
r,l,t
27.0,27,0.735838
12.0,12,2.495932
35.0,35,4.082532
23.0,23,5.570566
12.0,12,5.596351
22.0,22,7.041287
29.0,29,7.104171
18.0,18,8.431876
88.0,88,15.976325
17.0,17,16.01901
24.0,24,17.567523
58.0,58,20.753558
38.0,38,22.491021
84.0,84,27.343517
24.0,24,27.399384
19.0,19,29.009572
32.0,32,30.614724
66.0,66,33.881471
398.0,398,52.886477
500.0,500,74.598217
285.0,285,85.946634
500.0,500,104.990341
500.0,500,124.785041
500.0,500,142.78557
500.0,500,164.314699
500.0,500,182.589457
500.0,500,201.977428
500.0,500,222.639693
500.0,500,241.984533
500.0,500,264.305051
500.0,500,282.135228
500.0,500,301.294593
500.0,500,323.072121
500.0,500,340.924186
500.0,500,362.341095
500.0,500,381.041066
500.0,500,399.417819
500.0,500,420.07249
500.0,500,439.186064
500.0,500,461.471577
500.0,500,480.534358
500.0,500,498.40018
