#{"t_start": 1719344686.8194966, "env_id": "CartPoleAggregated-v1"}
r,l,t
18.0,18,0.712845
27.0,27,2.509671
11.0,11,2.536761
22.0,22,4.090849
10.0,10,4.112349
40.0,40,5.635293
10.0,10,7.05476
19.0,19,7.096432
9.0,9,8.407977
12.0,12,8.431149
33.0,33,12.761864
61.0,61,15.992511
34.0,34,17.563869
17.0,17,19.085481
9.0,9,19.105315
48.0,48,20.802885
41.0,41,24.043554
46.0,46,25.812742
44.0,44,27.398704
13.0,13,28.988841
183.0,183,38.730693
68.0,68,41.937519
133.0,133,47.01293
154.0,154,54.418613
500.0,500,76.158221
500.0,500,95.478111
500.0,500,117.03664
500.0,500,134.302714
500.0,500,153.259838
500.0,500,173.598973
500.0,500,193.291061
500.0,500,215.058963
500.0,500,232.71315
500.0,500,253.22791
500.0,500,274.230073
500.0,500,292.099576
500.0,500,314.132267
500.0,500,332.349467
500.0,500,351.386645
500.0,500,373.286227
243.0,243,381.00922
500.0,500,399.385449
500.0,500,420.047184
500.0,500,439.161473
500.0,500,461.448617
500.0,500,479.013113
500.0,500,498.373578
