#{"t_start": 1719344686.8149624, "env_id": "CartPoleAggregated-v1"}
r,l,t
27.0,27,0.739318
27.0,27,2.535338
44.0,44,5.577196
17.0,17,5.613122
13.0,13,5.639522
13.0,13,7.066672
13.0,13,7.094487
22.0,22,8.431438
11.0,11,8.452263
38.0,38,14.213222
45.0,45,15.991276
50.0,50,17.601926
33.0,33,20.715847
26.0,26,20.804003
67.0,67,24.116377
61.0,61,27.393437
67.0,67,30.649191
223.0,223,42.006262
176.0,176,50.439933
154.0,154,56.876163
174.0,174,65.078182
161.0,161,72.172461
500.0,500,92.192284
500.0,500,110.658014
500.0,500,131.009376
500.0,500,149.929877
500.0,500,170.097371
500.0,500,189.7248
500.0,500,209.408546
500.0,500,229.344211
500.0,500,249.363286
500.0,500,270.195653
500.0,500,288.699282
500.0,500,308.482961
500.0,500,328.925184
500.0,500,347.924077
500.0,500,369.601547
500.0,500,387.773848
500.0,500,405.952096
500.0,500,425.73083
500.0,500,445.060195
275.0,275,457.155679
500.0,500,476.486227
500.0,500,495.96877
