#{"t_start": 1718712894.6042538, "env_id": "CartPole-v1"}
r,l,t
10.0,10,0.695492
24.0,24,2.727865
27.0,27,2.785807
21.0,21,4.362306
15.0,15,5.780162
10.0,10,5.801512
43.0,43,7.803676
40.0,40,9.953318
19.0,19,12.073702
112.0,112,16.864187
151.0,151,22.869315
160.0,160,29.326257
119.0,119,36.763338
133.0,133,44.169357
139.0,139,51.577596
149.0,149,60.677306
164.0,164,70.892355
197.0,197,80.430412
441.0,441,93.086168
195.0,195,102.697748
212.0,212,112.829644
204.0,204,121.494095
328.0,328,137.981213
274.0,274,148.756848
227.0,227,159.579429
500.0,500,176.516569
500.0,500,190.034145
500.0,500,205.344086
500.0,500,223.308583
500.0,500,236.985521
500.0,500,254.3378
500.0,500,269.387117
500.0,500,284.360684
500.0,500,302.567868
500.0,500,315.873292
500.0,500,333.450672
500.0,500,348.806576
500.0,500,362.892169
500.0,500,381.026181
500.0,500,396.128189
