#{"t_start": 1718712894.600091, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.705962
26.0,26,2.742359
13.0,13,2.770251
20.0,20,4.345784
30.0,30,5.795756
37.0,37,7.778503
16.0,16,7.822704
18.0,18,9.912492
36.0,36,12.077662
45.0,45,14.291358
131.0,131,20.616713
153.0,153,25.249804
130.0,130,31.186104
116.0,116,38.627172
132.0,132,46.035308
152.0,152,55.158495
168.0,168,64.307974
163.0,163,74.502432
429.0,429,88.607491
202.0,202,95.29236
171.0,171,104.606462
175.0,175,112.82376
243.0,243,123.459371
324.0,324,138.050857
279.0,279,150.588255
302.0,302,163.008692
500.0,500,179.293857
500.0,500,193.24154
500.0,500,210.68013
500.0,500,225.936526
500.0,500,240.016227
500.0,500,257.038485
500.0,500,272.044386
500.0,500,290.088492
500.0,500,305.356001
500.0,500,318.915106
500.0,500,336.161987
500.0,500,351.468569
500.0,500,368.466135
500.0,500,383.754256
500.0,500,398.853967
