#{"t_start": 1718712894.6008952, "env_id": "CartPole-v1"}
r,l,t
37.0,37,2.737324
23.0,23,2.786597
22.0,22,4.365518
16.0,16,5.786461
87.0,87,9.94353
28.0,28,12.087526
32.0,32,14.270705
149.0,149,20.634882
153.0,153,27.044792
124.0,124,31.192214
121.0,121,38.643575
135.0,135,46.058672
143.0,143,55.162452
140.0,140,62.462013
173.0,173,74.467765
241.0,241,84.469896
343.0,343,93.074785
174.0,174,100.839715
200.0,200,110.947539
234.0,234,121.475147
237.0,237,133.460484
344.0,344,146.866733
243.0,243,159.544165
500.0,500,174.69659
500.0,500,190.007587
500.0,500,205.315737
500.0,500,221.476857
500.0,500,236.95916
500.0,500,252.556509
500.0,500,267.63995
500.0,500,284.332263
500.0,500,300.724336
500.0,500,315.845136
500.0,500,333.418905
500.0,500,346.9973
500.0,500,362.8625
500.0,500,379.149905
500.0,500,394.24813
