#{"t_start": 1718712894.6028488, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.703338
11.0,11,0.726716
28.0,28,2.767619
17.0,17,4.337012
13.0,13,4.363656
18.0,18,5.788817
20.0,20,5.828928
11.0,11,7.755295
22.0,22,7.81444
20.0,20,9.909888
24.0,24,12.043758
11.0,11,12.071827
17.0,17,14.224945
167.0,167,20.628667
132.0,132,25.218307
138.0,138,31.170298
118.0,118,38.616328
139.0,139,46.039417
130.0,130,53.369206
149.0,149,62.436742
179.0,179,74.452412
191.0,191,82.297336
401.0,401,93.077288
201.0,201,102.701953
205.0,205,112.818536
245.0,245,123.459109
332.0,332,139.911687
308.0,308,152.439318
500.0,500,170.094077
500.0,500,185.43285
500.0,500,199.009599
500.0,500,216.667484
500.0,500,232.047905
500.0,500,248.538599
500.0,500,263.10114
500.0,500,277.972786
500.0,500,296.126934
500.0,500,311.363969
500.0,500,327.326719
500.0,500,342.513854
500.0,500,357.214208
500.0,500,374.185206
500.0,500,389.705269
500.0,500,407.142384
