#{"t_start": 1718712894.6034884, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.709623
26.0,26,2.746197
17.0,17,2.781243
15.0,15,4.346737
15.0,15,4.377264
73.0,73,9.880535
91.0,91,14.285383
141.0,141,20.632414
170.0,170,27.079366
132.0,132,33.100724
132.0,132,40.468787
132.0,132,47.906032
155.0,155,57.057059
155.0,155,67.061746
169.0,169,76.378276
431.0,431,90.515904
192.0,192,97.157094
186.0,186,106.862618
179.0,179,114.738873
239.0,239,127.213755
299.0,299,139.939119
299.0,299,152.447603
500.0,500,170.103137
500.0,500,185.442671
500.0,500,199.018842
500.0,500,216.677289
500.0,500,232.40508
500.0,500,248.546581
500.0,500,263.111072
500.0,500,277.981685
500.0,500,296.135315
500.0,500,311.373416
500.0,500,327.335594
500.0,500,342.523189
500.0,500,357.603394
500.0,500,374.193544
500.0,500,389.713603
500.0,500,407.150679
