#{"t_start": 1719343385.246739, "env_id": "CartPoleAggregated-v1"}
r,l,t
34.0,34,2.115803
18.0,18,2.153327
24.0,24,3.716496
60.0,60,6.898226
19.0,19,6.938195
54.0,54,9.734087
18.0,18,11.243244
16.0,16,11.281443
12.0,12,11.308252
89.0,89,15.552168
49.0,49,18.632153
21.0,21,18.682211
29.0,29,20.282557
15.0,15,21.831103
20.0,20,21.884618
28.0,28,23.484193
52.0,52,26.490115
38.0,38,28.076014
54.0,54,31.07
85.0,85,34.2802
13.0,13,35.780253
15.0,15,35.817432
235.0,235,47.459109
210.0,210,56.064335
