#{"t_start": 1719343385.2475147, "env_id": "CartPoleAggregated-v1"}
r,l,t
20.0,20,0.71022
21.0,21,2.128977
25.0,25,3.683873
14.0,14,3.72877
25.0,25,5.448568
46.0,46,6.928772
47.0,47,9.707645
20.0,20,9.75464
17.0,17,11.261986
65.0,65,14.103158
29.0,29,15.518898
50.0,50,17.055377
27.0,27,18.66187
31.0,31,20.267414
24.0,24,21.839464
30.0,30,23.447751
54.0,54,26.458708
15.0,15,26.494309
42.0,42,28.100119
105.0,105,34.204848
73.0,73,37.308048
45.0,45,38.999737
113.0,113,44.755877
