#{"t_start": 1718439967.5925171, "env_id": "None"}
r,l,t
-84.26654,83,29.898806
-240.24483,126,29.923734
-146.64653,360,31.505324
-526.85486,363,31.52785
-994.63855,444,31.980364
-1563.7921,499,32.253452
-6576.5894,618,32.857615
-189.95628,266,32.918574
-456.4995,322,33.115174
-97.3808,77,33.156741
-523.5488,202,33.175919
-99.52518,83,33.208341
-306.60028,315,33.349587
-93.21405,88,33.374034
-97.23101,91,33.424842
-104.88144,88,33.442822
-155.33832,91,33.557925
-83.51474,70,33.607231
-105.84892,83,33.622929
-123.28062,116,33.649549
10.719582,199,33.668812
-207.84485,94,33.777626
-42.57984,98,33.835559
-67.12396,82,33.835615
-163.9863,138,33.940683
-71.33438,151,34.015537
-127.71832,78,34.018511
-73.57962,117,34.054573
-112.65473,129,34.136528
-211.44968,248,34.995609
-362.4642,257,35.039958
-301.4922,324,35.386483
-119.11505,368,35.589518
-3623.1523,542,36.489323
-232.04196,191,36.587099
-725.6947,333,36.695023
-374.70224,259,36.703556
-59.44283,73,36.816699
-154.05835,65,36.850825
-119.35431,71,36.95786
-2072.5356,403,36.979859
-66.700806,64,37.041974
-425.259,142,37.123201
-523.6782,121,37.154734
-58.651085,98,37.201748
-311.87436,118,37.232063
-85.6386,113,37.297055
-282.56363,101,37.347053
-31.74916,59,37.365061
-153.75354,126,37.432157
-166.47946,143,37.522994
-107.252426,77,37.523053
-112.418686,119,37.565755
-94.190445,91,37.637923
-156.27652,143,37.688063
-73.39946,63,37.707649
-123.56625,99,37.744237
-181.31065,107,37.764033
-164.90642,145,38.186578
-215.70877,170,38.264137
-58.870316,227,38.455752
-323.6127,249,38.530869
-570.37384,371,38.986221
-642.1512,241,39.431257
-985.80914,300,39.440442
-228.24982,131,39.564595
-1466.591,368,39.607305
-756.5446,295,39.696357
-149.94057,98,39.750896
-86.47333,73,39.767016
-58.394077,136,39.829998
-125.649475,73,39.860336
-392.6416,126,39.907625
-12.54705,110,39.996964
-121.6581,121,40.037711
-105.711266,106,40.071327
-245.2424,114,40.117403
-156.27065,111,40.161642
-115.999466,86,40.192028
-45.23884,72,40.20101
-130.26111,81,40.249053
-108.47276,72,40.314693
-286.08148,102,40.339361
-65.907906,68,40.398219
-266.3213,89,40.616612
-929.7349,472,42.837435
-4612.943,497,43.02929
-2167.9524,531,43.23972
-1424.835,564,43.391378
-217.8183,104,43.817606
-246.6218,191,51.323595
-89.61624,88,51.496864
-547.92456,296,51.561916
-262.43094,277,51.589338
-2241.374,733,51.770739
-80.42665,116,51.807147
-110.88254,114,51.911467
-70.52455,85,51.975731
-19.591888,158,51.993665
-83.034134,91,52.031281
-225.49104,164,52.052092
-138.5255,118,52.19268
-94.08025,96,52.200691
-137.82574,98,52.221024
-49.023567,97,52.253098
-319.9478,123,52.3324
-1123.6489,493,54.975818
-1156.313,515,55.13882
-1204.4548,625,55.889409
-1212.7604,645,55.997307
-1236.6077,703,56.25166
-8.46463,114,56.711366
-623.8383,379,56.988406
-664.0739,367,57.03276
-302.88876,239,57.040134
-335.42224,311,57.199691
-73.87656,68,57.209158
-136.3384,157,57.289007
-80.541214,136,57.394015
-85.04543,138,57.404097
-129.02917,91,57.504662
-69.46882,159,57.583762
-237.95813,171,57.622635
-55.506325,92,57.63005
-347.32648,114,57.670787
-96.91098,84,57.77516
-199.05788,78,57.798836
-1241.9106,617,61.685041
-1296.753,734,62.772115
-1257.207,775,63.082096
-1253.7792,792,63.188559
-1279.3251,804,63.241853
-94.66333,117,63.546027
-46.239304,139,63.659744
-211.26898,190,63.739527
-117.93322,238,63.763321
-69.632256,74,63.891515
-56.873405,71,63.950889
-782.47504,428,63.978327
-76.49942,139,63.98582
-109.76207,87,64.008191
-84.81814,83,64.096252
-110.96431,84,64.143091
-89.91754,65,64.152205
-70.458176,113,64.228805
-80.5492,125,64.262273
-201.8787,125,64.384357
-206.74652,127,64.450424
-68.46123,161,64.523561
-54.542133,74,64.56901
-950.59845,401,66.401006
-1090.4827,529,67.36248
-1217.5737,639,68.121585
-1244.6348,723,68.646969
-1279.1049,742,68.742651
-56.666878,136,69.368058
-59.865303,156,69.37393
-485.7858,264,69.494172
-977.9078,512,69.539459
-68.67079,105,69.790655
-62.587578,81,69.790713
-135.37851,119,69.835981
-24.173431,96,69.877137
-399.70892,502,69.953583
-106.46232,110,70.103154
-54.299686,91,70.1189
-93.443,116,70.118959
-61.887814,80,70.142936
-177.88113,152,70.229502
-106.29366,81,70.328813
-159.73775,107,70.365178
-87.09252,72,70.39929
-98.177414,135,70.440693
-1116.868,488,73.209752
-1089.1057,494,73.262868
-1113.2283,571,73.805277
-1184.1855,584,73.883782
-1275.6067,731,74.636333
-697.0424,333,75.144446
-695.2511,376,75.337669
-101.206474,191,75.593693
-472.1157,387,83.423636
-41.370365,113,83.447705
-96.87748,158,83.474713
-270.30377,431,83.526698
-53.37844,74,83.637949
-56.849327,136,83.657763
-53.549797,89,83.73247
-19.72573,131,83.795624
-44.604324,73,83.831933
-48.14983,179,83.880936
-73.262794,114,83.915529
11.044357,122,84.028724
-631.54694,465,86.403678
-497.8737,482,86.534244
-816.3448,769,88.805429
-422.4103,414,89.998161
-771.2662,1000,91.019896
-735.5447,1000,91.019968
-51.530518,86,91.511812
-119.92847,133,91.80915
-64.10727,94,92.118043
-137.40784,312,92.309129
-232.9133,464,92.463964
-285.9685,775,92.501425
-43.199135,144,92.585421
24.466805,110,92.617499
-75.946106,116,92.694619
-249.46214,126,92.775736
-169.35088,111,92.848244
-275.174,172,92.909789
-53.613117,138,92.948188
-180.37851,99,93.02029
-107.97834,141,93.036984
-113.32368,93,93.071081
-427.07928,430,95.002873
-495.25934,470,95.254191
-658.8623,500,95.410841
-827.5974,733,96.669576
-884.9821,926,97.962106
-7.1065674,78,98.524887
-232.0082,382,99.461118
-201.37927,129,99.602869
-320.80646,718,99.721021
-357.86987,707,99.917471
-216.04254,701,100.042314
-84.932785,81,100.109086
-139.19301,106,100.133067
-76.29414,79,100.175223
-188.66154,163,100.225961
-74.40929,97,100.342689
-72.75375,130,100.3555
-17.911789,108,100.434083
-679.23206,507,103.228874
-541.04333,532,103.430429
-556.32764,534,103.444173
-762.46075,645,104.06013
-762.404,837,105.27358
-77.578735,130,106.022061
-455.2615,465,106.220135
-490.5562,407,106.506978
-141.48886,543,106.617286
-224.27206,576,106.64584
-87.51636,128,106.675504
-109.27355,151,106.804001
-89.31622,100,106.864011
-42.40208,156,106.950234
-82.36418,142,107.025216
-84.83645,97,107.050457
-139.18974,96,107.112194
-66.63026,110,107.239364
-494.81583,475,109.811303
-588.0138,572,110.651886
-621.8176,582,110.726047
-680.08984,670,111.272764
-445.63202,428,112.831937
-820.1294,992,113.502234
-438.77603,480,113.867723
-53.8597,108,114.141187
-144.67004,284,114.706095
-41.103848,139,114.730823
-218.12424,565,123.501004
-452.5436,657,123.520537
-75.44912,160,123.579268
-152.99728,113,123.686288
-118.53539,112,123.694963
-46.892017,92,123.756623
-101.68521,116,123.832265
-66.78203,119,123.898467
-61.555157,100,123.962156
-34.663376,115,124.073505
-61.559753,96,124.101279
-97.35375,175,124.168541
-50.378788,107,124.199597
-389.03644,564,127.621523
-551.6282,636,128.289766
-578.3183,677,128.602543
-381.35776,305,130.150307
-484.12436,1000,131.397483
-570.8624,1000,131.397547
-26.312286,120,132.032359
-332.68298,519,132.238005
-126.62559,333,132.451377
-108.50309,527,132.46053
-222.92447,236,132.560693
8.717232,175,132.853769
-60.75066,225,132.90525
-43.987774,142,132.908953
-39.598515,154,132.936708
-101.32009,120,132.936769
-94.404015,92,133.148348
-17.012115,130,133.215899
3.074562,138,133.283447
-7.7426605,130,133.292401
-305.40887,413,135.327859
-426.89792,579,136.641044
-450.63312,593,136.751292
-377.91406,321,139.63307
-546.7549,918,139.840234
-483.17773,1000,140.693063
-24.821037,79,141.24661
-493.88434,680,141.350747
-391.3022,519,141.436355
-132.8228,310,141.805897
-302.75977,301,141.836404
-26.536682,144,141.846967
10.883041,114,141.854395
-60.61991,137,141.86326
-39.37559,117,142.12437
-36.880596,131,142.183058
-172.96524,147,142.196646
-36.947815,171,142.236406
-140.40237,185,142.308748
-45.457657,83,142.387022
-21.897285,96,142.432545
-69.477066,129,142.449128
-246.78773,346,143.874072
-360.88815,447,144.552669
-541.25024,591,145.590067
-501.2844,706,146.442442
-494.76743,1000,148.726988
-450.56638,661,148.788994
-450.59344,589,148.956553
-330.3268,532,149.338213
-191.58603,132,149.371443
-11.193825,195,149.630476
-36.393425,167,149.634712
-247.80342,525,149.733345
-93.582,123,149.792574
-166.854,207,149.992385
-70.857666,193,150.179211
-111.74432,198,150.199563
-25.681702,189,150.248622
-6.5004425,98,150.268437
-116.778915,228,150.411482
-417.38196,544,153.637771
-470.89624,675,154.844345
-573.4607,976,157.654252
-496.94644,1000,157.863421
-460.66064,1000,157.863497
-352.20306,463,157.896906
-78.16773,74,158.095035
-23.045387,122,158.28263
-428.8595,488,158.410054
-53.869976,163,158.410111
17.871231,198,158.4413
4.854187,120,158.484588
-49.44874,82,158.520907
-0.5595856,109,158.668281
-46.629215,100,165.967333
-90.2647,101,166.013127
7.99794,251,166.391263
-10.322769,138,166.41617
-20.304314,192,166.529377
-271.32355,384,168.439228
-432.17786,715,171.701193
-433.5728,737,171.940713
-343.41025,1000,174.785307
-374.71848,1000,174.785381
-20.522873,104,175.467328
-15.087334,146,175.771853
-269.63147,526,176.509802
-11.55146,185,176.870499
-333.5313,921,176.991191
-75.58134,169,177.035266
2.77565,163,177.441551
-8.038528,154,177.717075
-14.257896,205,177.898407
-315.0137,456,180.356783
-400.3535,732,183.154479
-428.52106,749,183.330094
-445.0809,825,184.008368
-392.5844,1000,185.519365
-328.9433,681,186.401325
-81.78723,203,186.800978
-57.336617,401,186.949141
-146.79927,495,186.955576
-39.04518,562,187.294809
-69.42279,159,187.446954
