#{"t_start": 1718462887.241868, "env_id": "CartPole-v1"}
r,l,t
9.0,9,2.25467
9.0,9,4.201078
9.0,9,6.05239
8.0,8,7.911401
9.0,9,9.798897
11.0,11,11.697081
9.0,9,13.60992
9.0,9,15.489861
8.0,8,17.359554
9.0,9,19.253043
2.0,22,1.317545
9.0,9,1.345923
10.0,10,1.377108
9.0,9,1.403365
9.0,9,1.433665
13.0,13,1.471573
8.0,8,1.492685
11.0,11,1.521635
11.0,11,1.55035
17.0,17,1.608082
12.0,12,1.640536
12.0,12,1.679979
11.0,11,1.707871
12.0,12,1.750225
8.0,8,1.776911
15.0,15,1.823342
11.0,11,1.872424
11.0,11,1.920627
9.0,9,1.951469
11.0,11,1.994618
10.0,10,2.02401
9.0,9,2.054119
9.0,9,2.086003
10.0,10,2.11866
9.0,9,2.146246
8.0,8,2.175566
9.0,9,2.21255
10.0,10,2.246821
10.0,10,2.332986
10.0,10,2.371965
9.0,9,2.405027
9.0,9,2.443216
10.0,10,2.484128
11.0,11,2.529754
9.0,9,2.566481
9.0,9,2.603666
8.0,8,2.634604
9.0,9,2.668081
10.0,10,2.69787
11.0,11,2.741718
10.0,10,2.775568
10.0,10,2.818327
9.0,9,2.850914
10.0,10,2.886907
9.0,9,2.919162
10.0,10,2.953135
9.0,9,2.988399
10.0,10,3.024737
10.0,10,3.064862
8.0,8,3.093018
10.0,10,3.129324
9.0,9,3.161994
10.0,10,3.198402
11.0,11,3.241635
9.0,9,3.274654
10.0,10,3.308453
10.0,10,3.347955
13.0,13,3.38999
9.0,9,3.422688
10.0,10,3.462049
9.0,9,3.499549
10.0,10,3.540088
9.0,9,3.574869
10.0,10,3.608708
10.0,10,3.648372
9.0,9,3.682625
8.0,8,3.711518
11.0,11,3.756931
10.0,10,3.794742
11.0,11,3.833015
10.0,10,3.874148
9.0,9,3.920474
9.0,9,3.954432
10.0,10,3.991718
10.0,10,4.029266
10.0,10,4.06925
10.0,10,4.103511
10.0,10,4.139945
10.0,10,4.177072
10.0,10,4.240607
9.0,9,4.275456
10.0,10,4.306
10.0,10,4.346269
10.0,10,4.383604
9.0,9,4.419562
10.0,10,4.453863
10.0,10,4.496896
10.0,10,4.529409
10.0,10,4.564607
8.0,8,4.594362
12.0,12,4.63293
9.0,9,4.660733
9.0,9,4.696877
10.0,10,4.728755
11.0,11,4.762047
12.0,12,4.801435
10.0,10,4.834788
9.0,9,4.865769
10.0,10,4.901612
10.0,10,4.940817
9.0,9,4.97149
10.0,10,5.011265
9.0,9,5.043866
10.0,10,5.080245
9.0,9,5.1161
10.0,10,5.149923
10.0,10,5.1873
10.0,10,5.224082
9.0,9,5.259388
10.0,10,5.292936
9.0,9,5.324167
9.0,9,5.354886
10.0,10,5.388851
8.0,8,5.419387
9.0,9,5.447695
9.0,9,5.483547
9.0,9,5.518853
10.0,10,5.552421
9.0,9,5.587706
12.0,12,5.632303
11.0,11,5.670652
10.0,10,5.706594
9.0,9,5.744275
9.0,9,5.776101
9.0,9,5.814514
9.0,9,5.854704
9.0,9,5.888134
9.0,9,5.919472
10.0,10,5.961673
8.0,8,5.991761
8.0,8,6.02339
9.0,9,6.059165
11.0,11,6.124561
10.0,10,6.160617
8.0,8,6.192439
9.0,9,6.224281
13.0,13,6.267267
9.0,9,6.296276
10.0,10,6.328485
9.0,9,6.362329
11.0,11,6.399774
10.0,10,6.437417
11.0,11,6.475453
8.0,8,6.501045
11.0,11,6.538335
9.0,9,6.570467
8.0,8,6.595106
12.0,12,6.637859
11.0,11,6.677891
11.0,11,6.715983
11.0,11,6.766357
10.0,10,6.799731
12.0,12,6.845282
10.0,10,6.881649
8.0,8,6.910985
10.0,10,6.951418
9.0,9,6.986751
10.0,10,7.022371
10.0,10,7.056193
10.0,10,7.100218
9.0,9,7.136855
10.0,10,7.175519
9.0,9,7.205973
10.0,10,7.244273
9.0,9,7.282239
10.0,10,7.322132
11.0,11,7.361676
9.0,9,7.402856
9.0,9,7.433601
9.0,9,7.469024
9.0,9,7.506417
9.0,9,7.542487
9.0,9,7.569089
10.0,10,7.605466
10.0,10,7.644576
10.0,10,7.677893
8.0,8,7.70879
10.0,10,7.745715
9.0,9,7.775029
10.0,10,7.8124
9.0,9,7.843471
9.0,9,7.872707
10.0,10,7.911343
9.0,9,7.962763
11.0,11,8.000226
9.0,9,8.032845
10.0,10,8.066012
10.0,10,8.107481
10.0,10,8.133435
8.0,8,8.158951
9.0,9,8.191015
10.0,10,8.230668
9.0,9,8.260474
10.0,10,8.293815
9.0,9,8.328959
9.0,9,8.359111
11.0,11,8.394792
8.0,8,8.425491
9.0,9,8.455746
10.0,10,8.491139
9.0,9,8.5268
9.0,9,8.559248
8.0,8,8.58742
9.0,9,8.621328
10.0,10,8.654467
9.0,9,8.689538
10.0,10,8.735181
10.0,10,8.771676
13.0,13,8.823788
12.0,12,8.869583
10.0,10,8.906285
9.0,9,8.944742
9.0,9,8.97729
11.0,11,9.018163
10.0,10,9.064192
10.0,10,9.100959
10.0,10,9.144176
9.0,9,9.180315
11.0,11,9.221066
8.0,8,9.254953
10.0,10,9.295729
9.0,9,9.338116
10.0,10,9.376409
9.0,9,9.410835
9.0,9,9.447519
8.0,8,9.479205
10.0,10,9.510665
9.0,9,9.543957
9.0,9,9.579117
10.0,10,9.612982
9.0,9,9.644319
10.0,10,9.680435
10.0,10,9.71776
10.0,10,9.756805
9.0,9,9.789643
8.0,8,9.837349
11.0,11,9.88057
11.0,11,9.916745
10.0,10,9.952212
9.0,9,9.981036
9.0,9,10.018579
8.0,8,10.061767
9.0,9,10.092715
10.0,10,10.130032
