#{"t_start": 1718461803.0062377, "env_id": "None"}
r,l,t
9.0,9,2.304286
13.0,13,2.305408
11.0,11,2.305471
13.0,13,2.319336
10.0,10,2.320398
10.0,10,2.325123
16.0,16,2.325978
13.0,13,2.333847
9.0,9,2.334919
8.0,8,2.335325
13.0,13,2.344948
17.0,17,2.352587
11.0,11,2.352636
15.0,15,2.352927
15.0,15,2.356616
14.0,14,2.370479
10.0,10,2.370546
10.0,10,2.371597
13.0,13,2.371656
16.0,16,2.382849
8.0,8,2.388739
11.0,11,2.392945
13.0,13,2.398688
16.0,16,2.402851
13.0,13,2.403922
10.0,10,2.408643
11.0,11,2.409269
9.0,9,2.416974
13.0,13,2.421871
13.0,13,2.42592
13.0,13,2.427101
11.0,11,2.434822
16.0,16,2.436744
11.0,11,2.440449
12.0,12,2.445359
11.0,11,2.448872
12.0,12,2.453332
10.0,10,2.454143
9.0,9,2.454992
11.0,11,2.467039
12.0,12,2.473446
13.0,13,2.473514
19.0,19,2.474072
16.0,16,2.483447
14.0,14,2.488448
11.0,11,2.492017
16.0,16,2.498682
8.0,8,2.506691
18.0,18,2.507507
16.0,16,2.507927
14.0,14,2.512263
10.0,10,2.522617
14.0,14,2.522666
10.0,10,2.525874
13.0,13,2.526248
12.0,12,2.535074
14.0,14,2.545683
17.0,17,2.549305
19.0,19,2.550716
20.0,20,2.55076
19.0,19,2.559936
10.0,10,2.563503
13.0,13,2.569005
10.0,10,2.569073
12.0,12,2.574064
8.0,8,2.5781
15.0,15,2.585355
11.0,11,2.59338
12.0,12,2.594236
13.0,13,2.597978
16.0,16,2.603299
11.0,11,2.603356
13.0,13,2.613549
16.0,16,2.617626
13.0,13,2.618437
10.0,10,2.623553
10.0,10,2.623621
12.0,12,2.632717
12.0,12,2.636814
9.0,9,2.63687
13.0,13,2.642008
14.0,14,2.645823
11.0,11,2.651708
14.0,14,2.661413
10.0,10,2.661879
15.0,15,2.661916
10.0,10,2.667084
18.0,18,2.674426
10.0,10,2.678904
12.0,12,2.681066
15.0,15,2.688188
11.0,11,2.693228
8.0,8,2.696564
12.0,12,2.706015
23.0,23,2.706069
12.0,12,2.710482
13.0,13,2.714504
19.0,19,2.715256
12.0,12,2.726035
9.0,9,2.730433
12.0,12,2.730499
14.0,14,2.733789
13.0,13,2.735332
8.0,8,2.744368
10.0,10,2.749727
12.0,12,2.750569
15.0,15,2.75523
9.0,9,2.759626
14.0,14,2.763352
10.0,10,2.769293
10.0,10,2.770132
10.0,10,2.778392
9.0,9,2.778461
8.0,8,2.778489
10.0,10,2.785239
12.0,12,2.796039
11.0,11,2.79722
11.0,11,2.797268
13.0,13,2.800722
11.0,11,2.811345
10.0,10,2.81687
13.0,13,2.817207
10.0,10,2.817947
14.0,14,2.826569
10.0,10,2.828153
11.0,11,2.835799
11.0,11,2.83744
12.0,12,2.837507
10.0,10,2.846368
12.0,12,2.856428
12.0,12,2.858032
13.0,13,2.863146
11.0,11,2.866866
25.0,25,2.867948
10.0,10,2.880862
10.0,10,2.8957
10.0,10,2.896033
10.0,10,2.896804
13.0,13,2.902428
10.0,10,2.910153
10.0,10,2.912068
13.0,13,2.915647
13.0,13,2.917185
12.0,12,2.926327
12.0,12,2.930098
11.0,11,2.931291
12.0,12,2.936009
11.0,11,2.940743
10.0,10,2.945959
13.0,13,2.951835
15.0,15,2.951889
10.0,10,2.951909
10.0,10,2.960041
13.0,13,2.967478
8.0,8,2.968329
9.0,9,2.976064
9.0,9,2.976976
10.0,10,2.977042
11.0,11,2.987017
13.0,13,2.998405
15.0,15,2.999207
15.0,15,3.00367
10.0,10,3.005987
19.0,19,3.013829
8.0,8,3.014902
11.0,11,3.019378
11.0,11,3.021705
8.0,8,3.029425
9.0,9,3.029495
8.0,8,3.031055
8.0,8,3.035528
9.0,9,3.044916
10.0,10,3.04599
11.0,11,3.046442
9.0,9,3.046477
11.0,11,3.056047
10.0,10,3.061256
8.0,8,3.062107
11.0,11,3.066561
11.0,11,3.071037
10.0,10,3.076163
10.0,10,3.081163
9.0,9,3.082056
12.0,12,3.082117
10.0,10,3.090471
11.0,11,3.095902
10.0,10,3.096785
9.0,9,3.096825
10.0,10,3.106608
12.0,12,3.112302
8.0,8,3.114514
9.0,9,3.123229
11.0,11,3.123548
17.0,17,3.128716
11.0,11,3.130316
11.0,11,3.139489
9.0,9,3.140343
11.0,11,3.14405
8.0,8,3.144914
9.0,9,3.154155
9.0,9,3.156356
8.0,8,3.160027
10.0,10,3.160906
9.0,9,3.165394
10.0,10,3.170748
9.0,9,3.17622
10.0,10,3.17629
12.0,12,3.185252
15.0,15,3.185323
12.0,12,3.212006
12.0,12,3.217559
12.0,12,3.228239
15.0,15,3.233064
12.0,12,3.233819
21.0,21,3.234656
11.0,11,3.242653
10.0,10,3.247485
9.0,9,3.248631
9.0,9,3.249397
11.0,11,3.258115
11.0,11,3.261722
12.0,12,3.26715
12.0,12,3.267819
11.0,11,3.267858
11.0,11,3.277541
13.0,13,3.277609
11.0,11,3.283333
11.0,11,3.291388
12.0,12,3.291819
11.0,11,3.297684
11.0,11,3.297752
8.0,8,3.302059
9.0,9,3.307891
12.0,12,3.31502
9.0,9,3.316634
9.0,9,3.316695
10.0,10,3.324718
9.0,9,3.329916
11.0,11,3.335745
9.0,9,3.335814
10.0,10,3.340247
10.0,10,3.341342
10.0,10,3.346124
10.0,10,3.35503
10.0,10,3.355894
14.0,14,3.360187
13.0,13,3.364544
12.0,12,3.369258
10.0,10,3.373652
11.0,11,3.374739
10.0,10,3.380657
13.0,13,3.385035
10.0,10,3.388754
11.0,11,3.394792
13.0,13,3.394868
9.0,9,3.399929
11.0,11,3.404708
13.0,13,3.40941
10.0,10,3.410482
12.0,12,3.422854
14.0,14,3.422911
13.0,13,3.428275
9.0,9,3.431992
12.0,12,3.439957
9.0,9,3.444651
11.0,11,3.445865
12.0,12,3.450961
14.0,14,3.459785
12.0,12,3.46375
11.0,11,3.464605
9.0,9,3.469483
19.0,19,3.469537
10.0,10,3.480719
13.0,13,3.48118
11.0,11,3.484768
11.0,11,3.490483
12.0,12,3.494218
10.0,10,3.499912
10.0,10,3.500762
11.0,11,3.510173
10.0,10,3.510242
18.0,18,3.514634
9.0,9,3.516436
12.0,12,3.527676
12.0,12,3.53441
12.0,12,3.534477
13.0,13,3.539611
11.0,11,3.544655
11.0,11,3.54912
9.0,9,3.551318
8.0,8,3.55538
11.0,11,3.555448
9.0,9,3.560995
9.0,9,3.565485
10.0,10,3.571462
8.0,8,3.571529
9.0,9,3.576276
11.0,11,3.582208
11.0,11,3.58629
8.0,8,3.591594
8.0,8,3.592017
11.0,11,3.595845
9.0,9,3.597256
11.0,11,3.610663
14.0,14,3.611511
11.0,11,3.611968
14.0,14,3.612005
11.0,11,3.620914
9.0,9,3.633109
12.0,12,3.634003
11.0,11,3.634063
12.0,12,3.639305
11.0,11,3.643764
11.0,11,3.651056
9.0,9,3.654822
11.0,11,3.654889
11.0,11,3.654916
10.0,10,3.661252
10.0,10,3.670968
9.0,9,3.671037
10.0,10,3.675445
10.0,10,3.675493
9.0,9,3.679846
10.0,10,3.694863
11.0,11,3.69577
9.0,9,3.695832
13.0,13,3.696627
14.0,14,3.700985
9.0,9,3.711215
11.0,11,3.712067
11.0,11,3.7158
11.0,11,3.721033
14.0,14,3.724847
10.0,10,3.733915
10.0,10,3.734816
12.0,12,3.734877
9.0,9,3.739344
11.0,11,3.744274
11.0,11,3.753218
11.0,11,3.758086
11.0,11,3.758153
11.0,11,3.758951
9.0,9,3.763417
10.0,10,3.77442
11.0,11,3.778312
10.0,10,3.778381
