#{"t_start": 1718462887.2551184, "env_id": "CartPole-v1"}
r,l,t
10.0,10,2.244083
9.0,9,4.188627
10.0,10,6.041327
9.0,9,7.900007
10.0,10,9.787824
10.0,10,11.683054
10.0,10,13.598954
8.0,8,15.475988
8.0,8,17.34681
10.0,10,19.242097

14.0,14,1.288581
9.0,9,1.311436
10.0,10,1.3473
16.0,16,1.392788
10.0,10,1.423444
11.0,11,1.45732
16.0,16,1.496905
11.0,11,1.52901
12.0,12,1.568406
22.0,22,1.632398
16.0,16,1.67753
9.0,9,1.708501
9.0,9,1.743147
11.0,11,1.780575
14.0,14,1.820989
12.0,12,1.880135
16.0,16,1.937099
13.0,13,1.985086
9.0,9,2.010438
10.0,10,2.044352
9.0,9,2.077978
12.0,12,2.118131
10.0,10,2.153966
11.0,11,2.191734
9.0,9,2.226327
9.0,9,2.304484
8.0,8,2.338549
10.0,10,2.37386
9.0,9,2.412941
10.0,10,2.453089
10.0,10,2.498495
9.0,9,2.534975
9.0,9,2.572303
11.0,11,2.614795
10.0,10,2.646855
8.0,8,2.673862
9.0,9,2.708566
12.0,12,2.750981
9.0,9,2.783659
9.0,9,2.81921
10.0,10,2.855764
11.0,11,2.896088
10.0,10,2.933093
9.0,9,2.969028
10.0,10,3.008173
10.0,10,3.04215
8.0,8,3.069955
11.0,11,3.113755
10.0,10,3.147626
9.0,9,3.183057
10.0,10,3.218989
10.0,10,3.255701
8.0,8,3.283905
9.0,9,3.319232
11.0,11,3.359385
9.0,9,3.38895
10.0,10,3.425428
9.0,9,3.464321
11.0,11,3.504736
9.0,9,3.544873
10.0,10,3.579597
9.0,9,3.612515
9.0,9,3.651559
9.0,9,3.681813
9.0,9,3.714974
10.0,10,3.755799
11.0,11,3.794122
9.0,9,3.832726
10.0,10,3.869037
9.0,9,3.911769
11.0,11,3.953823
9.0,9,3.987389
10.0,10,4.024565
8.0,8,4.059781
10.0,10,4.093318
9.0,9,4.125474
9.0,9,4.161512
11.0,11,4.226394
12.0,12,4.269979
8.0,8,4.298876
10.0,10,4.33309
9.0,9,4.369392
10.0,10,4.406511
9.0,9,4.439636
10.0,10,4.482733
9.0,9,4.51098
9.0,9,4.540072
9.0,9,4.572665
10.0,10,4.606512
10.0,10,4.638218
10.0,10,4.677504
11.0,11,4.714525
11.0,11,4.747746
8.0,8,4.77474
9.0,9,4.80338
10.0,10,4.838121
8.0,8,4.86997
10.0,10,4.900417
9.0,9,4.935104
9.0,9,4.966301
10.0,10,5.00649
9.0,9,5.039052
9.0,9,5.071643
11.0,11,5.112298
9.0,9,5.145399
8.0,8,5.18001
10.0,10,5.21665
11.0,11,5.251895
9.0,9,5.289005
9.0,9,5.317999
13.0,13,5.36027
11.0,11,5.403897
10.0,10,5.433478
9.0,9,5.469278
10.0,10,5.509266
10.0,10,5.545305
10.0,10,5.578619
10.0,10,5.618034
10.0,10,5.651967
11.0,11,5.692321
10.0,10,5.731135
9.0,9,5.769807
10.0,10,5.813804
10.0,10,5.855071
9.0,9,5.887361
10.0,10,5.927166
10.0,10,5.966464
10.0,10,6.000848
9.0,9,6.039099
9.0,9,6.099777
9.0,9,6.131966
12.0,12,6.173778
10.0,10,6.210018
14.0,14,6.257071
9.0,9,6.285729
9.0,9,6.314187
10.0,10,6.352168
9.0,9,6.379036
9.0,9,6.411453
10.0,10,6.449751
10.0,10,6.485574
9.0,9,6.508736
9.0,9,6.543382
8.0,8,6.569549
9.0,9,6.597691
10.0,10,6.636205
9.0,9,6.6693
9.0,9,6.701811
9.0,9,6.746082
11.0,11,6.777905
10.0,10,6.812567
10.0,10,6.855218
9.0,9,6.890389
9.0,9,6.928449
11.0,11,6.967723
9.0,9,7.001623
9.0,9,7.031762
9.0,9,7.071093
9.0,9,7.108353
9.0,9,7.142289
9.0,9,7.17591
10.0,10,7.217553
9.0,9,7.248377
9.0,9,7.287166
9.0,9,7.322098
10.0,10,7.359267
10.0,10,7.395855
8.0,8,7.426025
10.0,10,7.467388
9.0,9,7.501442
9.0,9,7.534654
10.0,10,7.570379
9.0,9,7.603659
10.0,10,7.639123
8.0,8,7.669524
9.0,9,7.70275
10.0,10,7.736285
10.0,10,7.77207
10.0,10,7.804318
10.0,10,7.842959
9.0,9,7.878551
9.0,9,7.906893
10.0,10,7.96072
9.0,9,7.996031
9.0,9,8.026571
10.0,10,8.063128
9.0,9,8.096689
11.0,11,8.126677
9.0,9,8.156392
9.0,9,8.189742
10.0,10,8.225004
12.0,12,8.263614
9.0,9,8.2958
8.0,8,8.324502
10.0,10,8.362956
12.0,12,8.405091
9.0,9,8.436222
11.0,11,8.475554
8.0,8,8.506082
8.0,8,8.534186
8.0,8,8.560864
9.0,9,8.590503
11.0,11,8.63367
8.0,8,8.667157
10.0,10,8.707036
11.0,11,8.751367
9.0,9,8.782736
9.0,9,8.821461
10.0,10,8.860572
8.0,8,8.89059
10.0,10,8.930559
10.0,10,8.968593
10.0,10,9.004149
9.0,9,9.040846
10.0,10,9.081343
10.0,10,9.12357
9.0,9,9.160442
10.0,10,9.197712
9.0,9,9.239404
9.0,9,9.271235
9.0,9,9.308398
10.0,10,9.355703
10.0,10,9.391946
9.0,9,9.429132
9.0,9,9.464866
9.0,9,9.495162
10.0,10,9.52971
10.0,10,9.566094
10.0,10,9.602976
11.0,11,9.639833
10.0,10,9.679589
11.0,11,9.721225
9.0,9,9.756206
9.0,9,9.787596
8.0,8,9.838763
9.0,9,9.870509
10.0,10,9.902372
12.0,12,9.94628
11.0,11,9.981972
9.0,9,10.024081
8.0,8,10.063343
10.0,10,10.096987
9.0,9,10.129728
9.0,9,10.168273
9.0,9,10.203848
9.0,9,10.23447
10.0,10,10.272385
10.0,10,10.306801
10.0,10,10.341596
10.0,10,10.382493
9.0,9,10.414873
10.0,10,10.466593
10.0,10,10.50168
10.0,10,10.534244
10.0,10,10.569148
12.0,12,10.60933
12.0,12,10.647144
9.0,9,10.679114
10.0,10,10.708725
11.0,11,10.746
10.0,10,10.782681
9.0,9,10.816667
9.0,9,10.852315
10.0,10,10.891277
8.0,8,10.924764
10.0,10,10.962865
9.0,9,10.999355
10.0,10,11.036201
10.0,10,11.070546
9.0,9,11.107609
10.0,10,11.144331
10.0,10,11.180622
8.0,8,11.210461
9.0,9,11.24592
9.0,9,11.282359
10.0,10,11.317765
10.0,10,11.357959
9.0,9,11.395454
9.0,9,11.42768
9.0,9,11.465558
9.0,9,11.504591
9.0,9,11.534744
10.0,10,11.574289
10.0,10,11.611938
10.0,10,11.64872
14.0,14,11.724367
9.0,9,11.756889
9.0,9,11.788293
13.0,13,11.835068
10.0,10,11.868903
8.0,8,11.90243
9.0,9,11.936416
10.0,10,11.97848
12.0,12,12.023297
10.0,10,12.060131
9.0,9,12.093382
10.0,10,12.130792
9.0,9,12.166529
9.0,9,12.200835
10.0,10,12.239546
10.0,10,12.278507
9.0,9,12.309664
9.0,9,12.348391
9.0,9,12.382846
8.0,8,12.416354
9.0,9,12.453339
9.0,9,12.486192
9.0,9,12.5188
9.0,9,12.554487
8.0,8,12.582539
10.0,10,12.620312
9.0,9,12.657501
8.0,8,12.685559
8.0,8,12.713958
9.0,9,12.753469
8.0,8,12.781904
9.0,9,12.814633
9.0,9,12.851192
10.0,10,12.887962
10.0,10,12.927867
10.0,10,12.97031
9.0,9,13.00328
8.0,8,13.034888
10.0,10,13.069455
9.0,9,13.103822
10.0,10,13.14393
10.0,10,13.181581
10.0,10,13.214925
12.0,12,13.260713
10.0,10,13.304087
10.0,10,13.33802
9.0,9,13.372766
9.0,9,13.406633
10.0,10,13.439772
9.0,9,13.476599
10.0,10,13.512865
9.0,9,13.541375
10.0,10,13.580356
10.0,10,13.630053
10.0,10,13.673949
9.0,9,13.707224
8.0,8,13.735264
11.0,11,13.7794
9.0,9,13.812541
9.0,9,13.841841
10.0,10,13.884417
10.0,10,13.921991
10.0,10,13.958848
10.0,10,13.995736
10.0,10,14.032104
10.0,10,14.066372
13.0,13,14.115596
9.0,9,14.151185
10.0,10,14.18779
11.0,11,14.229145
9.0,9,14.258054
9.0,9,14.293434
10.0,10,14.32987
12.0,12,14.371682
10.0,10,14.408247
9.0,9,14.443925
9.0,9,14.476811
10.0,10,14.513567
9.0,9,14.548752
10.0,10,14.585673
9.0,9,14.62115
10.0,10,14.658066
10.0,10,14.693774
10.0,10,14.73118
9.0,9,14.763883
10.0,10,14.803545
9.0,9,14.836679
9.0,9,14.865845
10.0,10,14.908754
9.0,9,14.941799
9.0,9,14.971186
9.0,9,15.00647
10.0,10,15.043305
10.0,10,15.082039
10.0,10,15.122037
10.0,10,15.1562
10.0,10,15.193135
9.0,9,15.228735
10.0,10,15.268776
9.0,9,15.298549
10.0,10,15.335456
10.0,10,15.37466
10.0,10,15.408459
10.0,10,15.449219
10.0,10,15.483397
11.0,11,15.549274
8.0,8,15.577808
10.0,10,15.615107
9.0,9,15.650926
10.0,10,15.688566
9.0,9,15.724468
8.0,8,15.755774
8.0,8,15.786993
11.0,11,15.822572
9.0,9,15.862121
9.0,9,15.891391
9.0,9,15.924582
9.0,9,15.95976
9.0,9,15.995581
9.0,9,16.028098
10.0,10,16.064696
11.0,11,16.102963
9.0,9,16.135797
10.0,10,16.179157
11.0,11,16.216591
9.0,9,16.255699
9.0,9,16.284907
9.0,9,16.317481
9.0,9,16.350105
10.0,10,16.389567
9.0,9,16.418998
9.0,9,16.454464
10.0,10,16.494826
10.0,10,16.531821
9.0,9,16.563383
10.0,10,16.600976
10.0,10,16.637632
10.0,10,16.670361
11.0,11,16.711499
10.0,10,16.74811
10.0,10,16.785041
9.0,9,16.816994
10.0,10,16.853228
9.0,9,16.888718
9.0,9,16.92082
10.0,10,16.956862
9.0,9,16.98883
9.0,9,17.017731
10.0,10,17.058014
11.0,11,17.097509
11.0,11,17.131718
9.0,9,17.166677
9.0,9,17.1997
8.0,8,17.231051
9.0,9,17.26389
12.0,12,17.308532
10.0,10,17.342041
10.0,10,17.403416
10.0,10,17.439721
10.0,10,17.476949
9.0,9,17.512148
10.0,10,17.548485
10.0,10,17.585866
9.0,9,17.625056
10.0,10,17.662769
10.0,10,17.698991
10.0,10,17.739428
10.0,10,17.775943
9.0,9,17.80861
10.0,10,17.852261
10.0,10,17.888572
9.0,9,17.927165
9.0,9,17.958964
8.0,8,17.983828
11.0,11,18.019461
10.0,10,18.061713
10.0,10,18.099021
9.0,9,18.128404
9.0,9,18.169746
10.0,10,18.206738
9.0,9,18.243085
10.0,10,18.280518
12.0,12,18.317993
10.0,10,18.357166
12.0,12,18.398623
10.0,10,18.435572
9.0,9,18.475275
10.0,10,18.509694
10.0,10,18.543291
9.0,9,18.581876
10.0,10,18.616747
11.0,11,18.653611
10.0,10,18.692547
9.0,9,18.72468
10.0,10,18.756257
10.0,10,18.797978
10.0,10,18.832085
9.0,9,18.859172
10.0,10,18.903595
9.0,9,18.934253
11.0,11,18.974299
11.0,11,19.014829
9.0,9,19.04939
13.0,13,19.093304
9.0,9,19.12843
