#{"t_start": 1718462887.2442238, "env_id": "CartPole-v1"}
r,l,t
10.0,10,2.254249
8.0,8,4.197659
10.0,10,6.05161
10.0,10,7.911803
9.0,9,9.796782
10.0,10,11.69316
10.0,10,13.609217
9.0,9,15.487787
9.0,9,17.35837
9.0,9,19.250864
0501
10.0,10,1.336178
12.0,12,1.373778
13.0,13,1.409179
14.0,14,1.454348
17.0,17,1.502559
9.0,9,1.527476
11.0,11,1.557655
11.0,11,1.594614
19.0,19,1.645255
14.0,14,1.688318
11.0,11,1.727868
9.0,9,1.756016
13.0,13,1.801193
11.0,11,1.832861
11.0,11,1.886766
8.0,8,1.918159
9.0,9,1.948906
9.0,9,1.983532
9.0,9,2.009968
10.0,10,2.042443
10.0,10,2.079484
9.0,9,2.110978
8.0,8,2.137681
10.0,10,2.171901
11.0,11,2.210987
8.0,8,2.243119
10.0,10,2.326294
10.0,10,2.364298
10.0,10,2.402483
9.0,9,2.440743
10.0,10,2.481609
9.0,9,2.521023
11.0,11,2.563953
9.0,9,2.601099
11.0,11,2.641087
10.0,10,2.675301
11.0,11,2.712565
10.0,10,2.75309
9.0,9,2.785742
9.0,9,2.817826
9.0,9,2.853346
11.0,11,2.891012
8.0,8,2.922357
9.0,9,2.957779
9.0,9,2.990461
9.0,9,3.022196
9.0,9,3.055062
10.0,10,3.091467
9.0,9,3.126781
8.0,8,3.158189
8.0,8,3.186581
11.0,11,3.225909
10.0,10,3.26012
10.0,10,3.300291
9.0,9,3.335897
9.0,9,3.363895
10.0,10,3.400561
10.0,10,3.436974
9.0,9,3.475933
9.0,9,3.510925
9.0,9,3.547863
10.0,10,3.584686
8.0,8,3.613729
10.0,10,3.651648
10.0,10,3.692325
10.0,10,3.726583
9.0,9,3.76322
8.0,8,3.792186
12.0,12,3.834998
9.0,9,3.871596
11.0,11,3.923516
12.0,12,3.966865
10.0,10,4.004324
10.0,10,4.04205
9.0,9,4.077607
9.0,9,4.11046
9.0,9,4.146798
10.0,10,4.186035
12.0,12,4.2555
9.0,9,4.286958
9.0,9,4.316479
10.0,10,4.357134
10.0,10,4.394287
8.0,8,4.422991
10.0,10,4.46299
10.0,10,4.503497
10.0,10,4.536961
9.0,9,4.566069
10.0,10,4.600131
11.0,11,4.635933
9.0,9,4.667337
9.0,9,4.704144
9.0,9,4.730342
10.0,10,4.759496
11.0,11,4.797738
8.0,8,4.823645
10.0,10,4.857648
10.0,10,4.891371
10.0,10,4.92947
9.0,9,4.960081
9.0,9,4.995615
9.0,9,5.028255
9.0,9,5.060356
10.0,10,5.100096
9.0,9,5.129865
9.0,9,5.165455
9.0,9,5.201796
10.0,10,5.235419
9.0,9,5.27085
13.0,13,5.31644
14.0,14,5.362232
10.0,10,5.401448
9.0,9,5.430685
9.0,9,5.462748
10.0,10,5.499368
9.0,9,5.535036
10.0,10,5.571133
9.0,9,5.603244
8.0,8,5.634363
9.0,9,5.663587
10.0,10,5.702774
10.0,10,5.741684
9.0,9,5.77357
9.0,9,5.811983
8.0,8,5.84643
9.0,9,5.880062
10.0,10,5.916948
10.0,10,5.959134
13.0,13,6.011453
9.0,9,6.043501
10.0,10,6.111454
10.0,10,6.148023
8.0,8,6.175734
10.0,10,6.212744
11.0,11,6.251345
10.0,10,6.281212
9.0,9,6.309955
9.0,9,6.34437
8.0,8,6.374771
9.0,9,6.404042
8.0,8,6.427892
9.0,9,6.461383
9.0,9,6.488337
11.0,11,6.525217
10.0,10,6.566869
9.0,9,6.592538
12.0,12,6.635406
8.0,8,6.662089
8.0,8,6.693874
10.0,10,6.731528
9.0,9,6.770985
8.0,8,6.797185
11.0,11,6.836754
12.0,12,6.883074
10.0,10,6.918369
9.0,9,6.956898
10.0,10,6.997827
9.0,9,7.028016
9.0,9,7.061613
10.0,10,7.101351
10.0,10,7.140459
12.0,12,7.187694
9.0,9,7.222091
12.0,12,7.26913
9.0,9,7.308328
9.0,9,7.338594
8.0,8,7.370825
10.0,10,7.407469
10.0,10,7.450212
9.0,9,7.487605
9.0,9,7.518168
8.0,8,7.546368
11.0,11,7.587181
9.0,9,7.619826
10.0,10,7.656001
10.0,10,7.692658
10.0,10,7.727156
9.0,9,7.756935
9.0,9,7.790214
10.0,10,7.823983
10.0,10,7.856954
9.0,9,7.89554
11.0,11,7.952384
10.0,10,7.989007
11.0,11,8.029112
10.0,10,8.062288
10.0,10,8.100911
12.0,12,8.137108
9.0,9,8.16381
9.0,9,8.196807
10.0,10,8.235466
9.0,9,8.262468
9.0,9,8.292148
10.0,10,8.330832
10.0,10,8.362228
9.0,9,8.393121
9.0,9,8.431032
10.0,10,8.462362
10.0,10,8.497887
10.0,10,8.537322
9.0,9,8.569106
9.0,9,8.59809
10.0,10,8.636374
9.0,9,8.671452
10.0,10,8.713008
10.0,10,8.753542
9.0,9,8.788047
8.0,8,8.821277
11.0,11,8.859495
9.0,9,8.896916
9.0,9,8.935769
11.0,11,8.974784
11.0,11,9.015639
10.0,10,9.06167
10.0,10,9.098438
8.0,8,9.131267
10.0,10,9.17219
10.0,10,9.209321
9.0,9,9.251176
10.0,10,9.287971
11.0,11,9.341756
11.0,11,9.386213
8.0,8,9.41579
9.0,9,9.449659
10.0,10,9.483365
10.0,10,9.519769
10.0,10,9.558697
10.0,10,9.595392
8.0,8,9.623075
9.0,9,9.651485
9.0,9,9.682993
11.0,11,9.728327
9.0,9,9.764179
10.0,10,9.799306
10.0,10,9.856285
10.0,10,9.891288
10.0,10,9.923655
12.0,12,9.965059
10.0,10,10.006334
10.0,10,10.048228
11.0,11,10.094819
9.0,9,10.127655
9.0,9,10.166073
9.0,9,10.195396
10.0,10,10.237374
9.0,9,10.268884
9.0,9,10.301945
10.0,10,10.332158
12.0,12,10.379447
8.0,8,10.411368
8.0,8,10.44266
8.0,8,10.48697
11.0,11,10.52214
8.0,8,10.547219
10.0,10,10.585029
9.0,9,10.616383
12.0,12,10.650918
8.0,8,10.68166
9.0,9,10.71142
9.0,9,10.740422
10.0,10,10.771223
10.0,10,10.807561
9.0,9,10.843448
10.0,10,10.881539
10.0,10,10.921555
10.0,10,10.961201
10.0,10,11.001657
8.0,8,11.030196
10.0,10,11.067974
9.0,9,11.104426
10.0,10,11.141604
11.0,11,11.179123
9.0,9,11.216206
10.0,10,11.250389
9.0,9,11.286305
10.0,10,11.328024
9.0,9,11.357471
10.0,10,11.402259
11.0,11,11.44698
9.0,9,11.482561
9.0,9,11.521007
11.0,11,11.560159
9.0,9,11.595504
10.0,10,11.635745
10.0,10,11.669228
10.0,10,11.725778
8.0,8,11.755258
10.0,10,11.792
8.0,8,11.818757
10.0,10,11.856023
9.0,9,11.888628
12.0,12,11.933651
10.0,10,11.975389
11.0,11,12.016941
9.0,9,12.050359
9.0,9,12.085989
10.0,10,12.122971
10.0,10,12.160257
9.0,9,12.192945
10.0,10,12.231961
10.0,10,12.27121
9.0,9,12.30634
8.0,8,12.33967
10.0,10,12.382989
