#{"t_start": 1718462887.2497098, "env_id": "CartPole-v1"}
r,l,t110.0,10,2.249265
9.0,9,4.193686
10.0,10,6.046505
8.0,8,7.903916
9.0,9,9.791551
10.0,10,11.6881
9.0,9,13.602614
9.0,9,15.482651
10.0,10,17.354608
8.0,8,19.244266
2407
14.0,14,1.278301
9.0,9,1.303312
10.0,10,1.334312
13.0,13,1.373285
12.0,12,1.404891
12.0,12,1.439765
24.0,24,1.507653
10.0,10,1.536669
13.0,13,1.580992
14.0,14,1.622177
9.0,9,1.651789
20.0,20,1.712697
11.0,11,1.749511
13.0,13,1.795212
15.0,15,1.840292
10.0,10,1.887761
10.0,10,1.929229
10.0,10,1.961226
10.0,10,1.995978
9.0,9,2.024671
10.0,10,2.058795
8.0,8,2.08972
10.0,10,2.120024
9.0,9,2.149956
9.0,9,2.183505
9.0,9,2.218207
9.0,9,2.250756
8.0,8,2.330028
9.0,9,2.364198
9.0,9,2.39723
10.0,10,2.441387
9.0,9,2.4764
9.0,9,2.515863
8.0,8,2.547729
8.0,8,2.580097
9.0,9,2.616765
10.0,10,2.652616
13.0,13,2.696796
9.0,9,2.728685
10.0,10,2.766543
10.0,10,2.805777
9.0,9,2.838684
10.0,10,2.871969
9.0,9,2.910015
9.0,9,2.939519
8.0,8,2.967762
9.0,9,3.00014
9.0,9,3.03584
10.0,10,3.075396
10.0,10,3.111546
8.0,8,3.14012
10.0,10,3.176599
9.0,9,3.204953
9.0,9,3.240739
10.0,10,3.280931
9.0,9,3.310237
10.0,10,3.352517
11.0,11,3.383415
10.0,10,3.420082
9.0,9,3.45909
10.0,10,3.500014
10.0,10,3.542686
10.0,10,3.579511
10.0,10,3.614287
9.0,9,3.65126
10.0,10,3.688262
10.0,10,3.726174
10.0,10,3.767271
9.0,9,3.795575
10.0,10,3.836524
10.0,10,3.875451
10.0,10,3.925889
11.0,11,3.961602
10.0,10,3.999094
9.0,9,4.032109
11.0,11,4.077235
9.0,9,4.109721
10.0,10,4.152286
9.0,9,4.181511
10.0,10,4.243049
9.0,9,4.276448
10.0,10,4.311359
8.0,8,4.339425
9.0,9,4.375717
10.0,10,4.412867
9.0,9,4.445984
9.0,9,4.481696
10.0,10,4.517365
9.0,9,4.546457
11.0,11,4.590285
10.0,10,4.617972
10.0,10,4.652877
9.0,9,4.688894
9.0,9,4.714543
10.0,10,4.749213
9.0,9,4.777372
10.0,10,4.809837
8.0,8,4.838976
10.0,10,4.876364
12.0,12,4.918074
8.0,8,4.946185
10.0,10,4.984274
10.0,10,5.018743
10.0,10,5.055412
8.0,8,5.089127
10.0,10,5.123469
10.0,10,5.160244
10.0,10,5.197824
9.0,9,5.230269
9.0,9,5.265739
9.0,9,5.296637
9.0,9,5.328675
13.0,13,5.367822
8.0,8,5.401563
