#{"t_start": 1718462887.2457728, "env_id": "CartPole-v1"}
r,l,t
9.0,9,2.251245
9.0,9,4.197425
9.0,9,6.048797
10.0,10,7.910415
9.0,9,9.795342
8.0,8,11.688669
10.0,10,13.607788
10.0,10,15.487752
10.0,10,17.35828
9.0,9,19.249432
2605
24.0,24,1.334732
11.0,11,1.367944
10.0,10,1.394539
10.0,10,1.429565
13.0,13,1.467548
16.0,16,1.506992
23.0,23,1.5786
14.0,14,1.618155
12.0,12,1.658651
18.0,18,1.711193
9.0,9,1.740793
13.0,13,1.782389
16.0,16,1.832294
12.0,12,1.891441
10.0,10,1.932955
10.0,10,1.964872
10.0,10,1.999589
8.0,8,2.02445
10.0,10,2.058769
10.0,10,2.10004
11.0,11,2.132273
9.0,9,2.164132
9.0,9,2.200306
10.0,10,2.229248
10.0,10,2.314518
8.0,8,2.348616
12.0,12,2.395172
12.0,12,2.445012
11.0,11,2.489894
10.0,10,2.530859
9.0,9,2.56895
10.0,10,2.611768
9.0,9,2.639637
10.0,10,2.673798
9.0,9,2.708834
10.0,10,2.742945
10.0,10,2.779652
10.0,10,2.816399
11.0,11,2.85752
10.0,10,2.893615
10.0,10,2.930339
8.0,8,2.961988
9.0,9,2.994357
10.0,10,3.033715
10.0,10,3.067616
8.0,8,3.098975
12.0,12,3.143626
10.0,10,3.180269
12.0,12,3.224478
10.0,10,3.258683
8.0,8,3.290248
9.0,9,3.328404
10.0,10,3.361404
9.0,9,3.387092
10.0,10,3.42356
9.0,9,3.46261
10.0,10,3.503406
9.0,9,3.540596
10.0,10,3.576172
9.0,9,3.612284
10.0,10,3.650272
9.0,9,3.682818
10.0,10,3.720235
8.0,8,3.75281
9.0,9,3.78615
10.0,10,3.822052
9.0,9,3.860022
10.0,10,3.901775
9.0,9,3.940684
10.0,10,3.978828
8.0,8,4.007462
9.0,9,4.04062
10.0,10,4.080813
10.0,10,4.11788
10.0,10,4.157183
10.0,10,4.19092
10.0,10,4.257551
9.0,9,4.289861
10.0,10,4.326623
10.0,10,4.364016
9.0,9,4.397189
8.0,8,4.425787
8.0,8,4.454325
9.0,9,4.492821
9.0,9,4.520998
9.0,9,4.550103
8.0,8,4.581684
11.0,11,4.616656
10.0,10,4.648475
10.0,10,4.687683
10.0,10,4.718187
9.0,9,4.748972
10.0,10,4.78094
9.0,9,4.809957
10.0,10,4.84384
8.0,8,4.87324
11.0,11,4.910623
10.0,10,4.949801
10.0,10,4.98793
10.0,10,5.022341
10.0,10,5.059015
10.0,10,5.098737
9.0,9,5.128514
10.0,10,5.16897
10.0,10,5.20579
10.0,10,5.245736
10.0,10,5.276208
9.0,9,5.310335
12.0,12,5.350812
10.0,10,5.384847
10.0,10,5.423567
12.0,12,5.465316
9.0,9,5.497904
10.0,10,5.534402
9.0,9,5.569668
8.0,8,5.597219
10.0,10,5.633976
8.0,8,5.662149
9.0,9,5.694196
8.0,8,5.726204
11.0,11,5.766619
8.0,8,5.801059
11.0,11,5.850632
10.0,10,5.888746
10.0,10,5.931772
11.0,11,5.971488
9.0,9,6.005533
9.0,9,6.040798
10.0,10,6.105175
9.0,9,6.14083
11.0,11,6.178379
9.0,9,6.211279
8.0,8,6.240933
9.0,9,6.267137
9.0,9,6.295871
9.0,9,6.324377
9.0,9,6.358214
11.0,11,6.395671
9.0,9,6.426445
10.0,10,6.463733
10.0,10,6.496992
10.0,10,6.527681
11.0,11,6.570425
11.0,11,6.602875
9.0,9,6.634574
10.0,10,6.67383
9.0,9,6.706492
9.0,9,6.747551
9.0,9,6.775822
9.0,9,6.808166
12.0,12,6.857427
10.0,10,6.891903
8.0,8,6.921741
8.0,8,6.955407
8.0,8,6.983589
9.0,9,7.0183
12.0,12,7.065179
9.0,9,7.099976
10.0,10,7.139021
9.0,9,7.172339
10.0,10,7.210423
8.0,8,7.24016
9.0,9,7.278113
10.0,10,7.318136
12.0,12,7.361629
10.0,10,7.400915
9.0,9,7.436047
10.0,10,7.477484
10.0,10,7.516747
10.0,10,7.552409
11.0,11,7.590846
9.0,9,7.623166
10.0,10,7.660365
11.0,11,7.699829
9.0,9,7.730869
10.0,10,7.763929
9.0,9,7.800751
10.0,10,7.835003
10.0,10,7.868596
10.0,10,7.907236
10.0,10,7.962501
10.0,10,7.996116
9.0,9,8.028731
8.0,8,8.059642
12.0,12,8.103286
12.0,12,8.136668
10.0,10,8.170434
9.0,9,8.203931
9.0,9,8.234911
11.0,11,8.272498
9.0,9,8.301631
8.0,8,8.330278
8.0,8,8.359607
11.0,11,8.400609
9.0,9,8.430481
8.0,8,8.459765
9.0,9,8.491779
10.0,10,8.530004
10.0,10,8.563803
10.0,10,8.596686
10.0,10,8.634959
10.0,10,8.677338
11.0,11,8.722622
12.0,12,8.767594
9.0,9,8.802039
9.0,9,8.840605
9.0,9,8.872161
9.0,9,8.907307
10.0,10,8.953288
8.0,8,8.978394
8.0,8,9.003823
9.0,9,9.04219
10.0,10,9.08471
9.0,9,9.116619
8.0,8,9.155152
11.0,11,9.19574
8.0,8,9.234594
9.0,9,9.269897
9.0,9,9.302331
11.0,11,9.355866
11.0,11,9.396172
10.0,10,9.434459
9.0,9,9.467744
8.0,8,9.497541
10.0,10,9.531209
10.0,10,9.567877
9.0,9,9.602988
11.0,11,9.640228
10.0,10,9.676322
11.0,11,9.721022
9.0,9,9.752681
9.0,9,9.78553
9.0,9,9.837984
13.0,13,9.888649
11.0,11,9.922192
12.0,12,9.963662
10.0,10,10.004937
10.0,10,10.046776
10.0,10,10.088707
9.0,9,10.121466
8.0,8,10.149904
9.0,9,10.185527
11.0,11,10.232033
10.0,10,10.267436
9.0,9,10.300541
10.0,10,10.330709
10.0,10,10.371601
8.0,8,10.403533
10.0,10,10.441244
11.0,11,10.494175
8.0,8,10.520701
10.0,10,10.553974
8.0,8,10.583549
10.0,10,10.618737
10.0,10,10.648392
8.0,8,10.678901
9.0,9,10.708885
9.0,9,10.734693
12.0,12,10.777004
9.0,9,10.80612
9.0,9,10.842044
10.0,10,10.880131
10.0,10,10.92015
10.0,10,10.959907
10.0,10,11.000261
9.0,9,11.033459
9.0,9,11.066567
9.0,9,11.103012
9.0,9,11.135308
11.0,11,11.170291
9.0,9,11.209891
9.0,9,11.243241
12.0,12,11.29009
9.0,9,11.326623
10.0,10,11.363045
10.0,10,11.405597
11.0,11,11.446508
10.0,10,11.48707
11.0,11,11.534069
10.0,10,11.573361
10.0,10,11.611743
9.0,9,11.644713
9.0,9,11.676035
13.0,13,11.743713
10.0,10,11.777532
10.0,10,11.816111
8.0,8,11.845024
10.0,10,11.87886
11.0,11,11.92214
9.0,9,11.95815
9.0,9,11.996973
8.0,8,12.0271
9.0,9,12.057478
9.0,9,12.086769
11.0,11,12.135093
9.0,9,12.164842
10.0,10,12.202217
9.0,9,12.239733
9.0,9,12.274522
10.0,10,12.313536
9.0,9,12.352135
10.0,10,12.389132
10.0,10,12.430301
10.0,10,12.469455
10.0,10,12.505615
9.0,9,12.541819
9.0,9,12.574893
8.0,8,12.60305
10.0,10,12.642502
10.0,10,12.681761
8.0,8,12.709985
10.0,10,12.750362
10.0,10,12.788283
9.0,9,12.82365
9.0,9,12.85605
9.0,9,12.889453
8.0,8,12.924272
11.0,11,12.970586
10.0,10,13.008904
8.0,8,13.033331
10.0,10,13.077175
9.0,9,13.10929
10.0,10,13.145452
9.0,9,13.182304
11.0,11,13.219079
9.0,9,13.251788
9.0,9,13.288795
10.0,10,13.324734
8.0,8,13.359013
10.0,10,13.397536
11.0,11,13.435151
12.0,12,13.481097
10.0,10,13.514546
10.0,10,13.550756
10.0,10,13.583447
11.0,11,13.640074
8.0,8,13.675273
10.0,10,13.712439
9.0,9,13.745297
9.0,9,13.780661
9.0,9,13.813959
10.0,10,13.850718
9.0,9,13.886081
8.0,8,13.914571
9.0,9,13.947371
10.0,10,13.986847
10.0,10,14.024399
9.0,9,14.059664
10.0,10,14.096548
10.0,10,14.133018
9.0,9,14.16255
10.0,10,14.202249
9.0,9,14.234596
9.0,9,14.263855
9.0,9,14.299275
10.0,10,14.338917
10.0,10,14.369021
9.0,9,14.404689
10.0,10,14.440979
8.0,8,14.472662
8.0,8,14.504027
8.0,8,14.532044
10.0,10,14.565613
10.0,10,14.60855
9.0,9,14.641156
10.0,10,14.681029
10.0,10,14.717354
10.0,10,14.754095
9.0,9,14.787166
10.0,10,14.824106
10.0,10,14.860844
10.0,10,14.894864
9.0,9,14.933323
10.0,10,14.967259
9.0,9,15.000205
9.0,9,15.038454
9.0,9,15.072762
10.0,10,15.106601
9.0,9,15.145241
10.0,10,15.179462
10.0,10,15.216239
10.0,10,15.253202
9.0,9,15.285996
8.0,8,15.317955
10.0,10,15.357155
11.0,11,15.394151
9.0,9,15.43051
10.0,10,15.465029
10.0,10,15.52215
10.0,10,15.56059
10.0,10,15.597412
9.0,9,15.631026
10.0,10,15.674084
9.0,9,15.707422
9.0,9,15.743049
8.0,8,15.771873
10.0,10,15.808215
10.0,10,15.845172
9.0,9,15.878814
10.0,10,15.916037
10.0,10,15.95544
9.0,9,15.991571
9.0,9,16.024629
11.0,11,16.068016
10.0,10,16.102547
9.0,9,16.131985
10.0,10,16.175081
9.0,9,16.203866
9.0,9,16.236892
9.0,9,16.275487
11.0,11,16.309931
8.0,8,16.341928
10.0,10,16.381751
9.0,9,16.41384
9.0,9,16.446324
9.0,9,16.484994
10.0,10,16.51921
10.0,10,16.555957
10.0,10,16.592513
10.0,10,16.629269
10.0,10,16.6629
10.0,10,16.701902
8.0,8,16.730142
9.0,9,16.762959
10.0,10,16.799523
9.0,9,16.831395
12.0,12,16.873025
10.0,10,16.913038
13.0,13,16.955347
9.0,9,16.992902
10.0,10,17.026704
10.0,10,17.063559
9.0,9,17.098244
10.0,10,17.127949
11.0,11,17.169004
11.0,11,17.209746
8.0,8,17.241216
9.0,9,17.274073
10.0,10,17.312809
10.0,10,17.347136
9.0,9,17.403518
9.0,9,17.439404
9.0,9,17.46844
10.0,10,17.511108
9.0,9,17.547207
10.0,10,17.580911
9.0,9,17.619065
10.0,10,17.657213
9.0,9,17.686501
9.0,9,17.724294
10.0,10,17.765801
9.0,9,17.795137
8.0,8,17.823361
10.0,10,17.869838
11.0,11,17.904681
10.0,10,17.950467
9.0,9,17.97921
10.0,10,18.014744
14.0,14,18.063309
8.0,8,18.091578
9.0,9,18.12415
11.0,11,18.17145
8.0,8,18.199522
10.0,10,18.236058
9.0,9,18.273238
11.0,11,18.310183
10.0,10,18.343515
9.0,9,18.380758
9.0,9,18.412951
9.0,9,18.445601
10.0,10,18.490454
9.0,9,18.51977
9.0,9,18.549205
10.0,10,18.592055
10.0,10,18.626595
9.0,9,18.65609
9.0,9,18.69356
10.0,10,18.726964
10.0,10,18.758962
9.0,9,18.799552
11.0,11,18.835173
11.0,11,18.869216
8.0,8,18.902649
10.0,10,18.943089
10.0,10,18.976754
11.0,11,19.018831
10.0,10,19.052706
12.0,12,19.089467
10.0,10,19.133513
9.0,9,19.164547
9.0,9,19.204504
9.0,9,19.242917
10.0,10,19.294081
