#{"t_start": 1718462887.2434218, "env_id": "CartPole-v1"}
r,l,t
9.0,9,2.253422
10.0,10,4.2013
10.0,10,6.052278
10.0,10,7.912486
9.0,9,9.797496
10.0,10,11.693829
10.0,10,13.609896
8.0,8,15.487107
10.0,10,17.360427
9
20.0,20,1.261518
10.0,10,1.284364
12.0,12,1.31575
9.0,9,1.344089
10.0,10,1.375252
14.0,14,1.418196
16.0,16,1.464436
20.0,20,1.519859
19.0,19,1.573688
13.0,13,1.618326
12.0,12,1.652952
11.0,11,1.684323
9.0,9,1.713423
11.0,11,1.748373
9.0,9,1.782302
10.0,10,1.808027
13.0,13,1.851195
9.0,9,1.90249
11.0,11,1.941907
10.0,10,1.978945
9.0,9,2.009683
9.0,9,2.035616
10.0,10,2.072696
10.0,10,2.108403
11.0,11,2.143345
8.0,8,2.172558
9.0,9,2.204251
10.0,10,2.243752
9.0,9,2.325844
9.0,9,2.356571
10.0,10,2.397279
8.0,8,2.426645
10.0,10,2.466821
8.0,8,2.505786
9.0,9,2.546097
8.0,8,2.579325
8.0,8,2.609722
9.0,9,2.637251
11.0,11,2.675983
10.0,10,2.712239
10.0,10,2.749273
9.0,9,2.781837
8.0,8,2.816554
10.0,10,2.850138
9.0,9,2.885143
10.0,10,2.92201
9.0,9,2.951364
10.0,10,2.991109
10.0,10,3.027544
10.0,10,3.064139
9.0,9,3.096853
12.0,12,3.141522
8.0,8,3.169522
8.0,8,3.20069
10.0,10,3.239865
10.0,10,3.273928
10.0,10,3.310584
10.0,10,3.350721
11.0,11,3.383513
10.0,10,3.420914
8.0,8,3.451789
9.0,9,3.490947
9.0,9,3.525257
9.0,9,3.563117
8.0,8,3.592113
9.0,9,3.625005
10.0,10,3.665236
10.0,10,3.699824
9.0,9,3.735918
9.0,9,3.77322
10.0,10,3.806368
10.0,10,3.851507
8.0,8,3.880487
10.0,10,3.924123
12.0,12,3.967515
9.0,9,4.003981
9.0,9,4.037032
10.0,10,4.074395
10.0,10,4.11111
8.0,8,4.143191
9.0,9,4.175286
10.0,10,4.238842
12.0,12,4.282442
9.0,9,4.312504
10.0,10,4.350467
9.0,9,4.389074
10.0,10,4.423639
9.0,9,4.456438
10.0,10,4.499835
9.0,9,4.527619
10.0,10,4.562824
8.0,8,4.592586
10.0,10,4.622887
9.0,9,4.650691
10.0,10,4.689901
11.0,11,4.726968
10.0,10,4.756371
9.0,9,4.787121
10.0,10,4.820242
10.0,10,4.85477
9.0,9,4.887091
13.0,13,4.934719
9.0,9,4.965369
8.0,8,4.996267
10.0,10,5.036209
10.0,10,5.070029
10.0,10,5.109586
10.0,10,5.146922
10.0,10,5.18424
9.0,9,5.216362
10.0,10,5.253495
9.0,9,5.285738
15.0,15,5.335812
9.0,9,5.36704
9.0,9,5.402137
10.0,10,5.435525
9.0,9,5.467491
9.0,9,5.500018
10.0,10,5.536669
9.0,9,5.571767
11.0,11,5.61228
10.0,10,5.649096
9.0,9,5.68179
9.0,9,5.716689
10.0,10,5.756576
9.0,9,5.788525
10.0,10,5.831729
13.0,13,5.880711
12.0,12,5.9339
11.0,11,5.9736
10.0,10,6.0121
10.0,10,6.05154
9.0,9,6.112101
9.0,9,6.144347
10.0,10,6.18048
9.0,9,6.213392
14.0,14,6.258011
9.0,9,6.289265
10.0,10,6.322038
9.0,9,6.355842
10.0,10,6.389525
10.0,10,6.419991
9.0,9,6.453516
11.0,11,6.488997
10.0,10,6.521145
8.0,8,6.554732
8.0,8,6.580859
10.0,10,6.610245
10.0,10,6.648582
10.0,10,6.68608
8.0,8,6.714221
10.0,10,6.759764
9.0,9,6.789203
8.0,8,6.819369
9.0,9,6.855108
9.0,9,6.888271
12.0,12,6.935956
10.0,10,6.972181
9.0,9,7.006243
9.0,9,7.042081
8.0,8,7.071349
9.0,9,7.107476
11.0,11,7.149666
9.0,9,7.183202
9.0,9,7.218078
11.0,11,7.260848
10.0,10,7.300886
10.0,10,7.339237
10.0,10,7.381435
10.0,10,7.416919
9.0,9,7.452123
10.0,10,7.493467
9.0,9,7.527567
10.0,10,7.562849
12.0,12,7.603711
9.0,9,7.63851
11.0,11,7.676102
9.0,9,7.714059
8.0,8,7.739666
9.0,9,7.766102
9.0,9,7.802925
10.0,10,7.837218
9.0,9,7.869693
10.0,10,7.905974
9.0,9,7.956735
10.0,10,7.993712
8.0,8,8.018995
8.0,8,8.048881
11.0,11,8.085994
12.0,12,8.126724
8.0,8,8.151815
9.0,9,8.181672
9.0,9,8.217294
11.0,11,8.253609
10.0,10,8.287718
9.0,9,8.322395
8.0,8,8.348639
9.0,9,8.380916
13.0,13,8.42817
9.0,9,8.460999
9.0,9,8.489375
9.0,9,8.525037
10.0,10,8.560889
9.0,9,8.590177
10.0,10,8.627237
10.0,10,8.670135
10.0,10,8.706507
10.0,10,8.747983
