#{"t_start": 1718462887.2543626, "env_id": "CartPole-v1"}
r,l,t
9.0,9,2.243347
10.0,10,4.191051
10.0,10,6.042027
10.0,10,7.902286
8.0,8,9.785728
9.0,9,11.681884
10.0,10,13.599658
9.0,9,15.478148
10.0,10,17.350207
9.0,9,19.241305

11.0,11,1.240987
10.0,10,1.267343
19.0,19,1.317034
9.0,9,1.347959
23.0,23,1.413029
10.0,10,1.443896
15.0,15,1.486854
17.0,17,1.530987
9.0,9,1.560866
10.0,10,1.594573
12.0,12,1.626875
20.0,20,1.687043
11.0,11,1.722831
13.0,13,1.770506
11.0,11,1.800828
18.0,18,1.880778
14.0,14,1.930314
10.0,10,1.967303
10.0,10,1.999148
11.0,11,2.036302
8.0,8,2.062052
12.0,12,2.105131
10.0,10,2.139177
10.0,10,2.176594
10.0,10,2.212623
9.0,9,2.245159
8.0,8,2.324512
10.0,10,2.363278
10.0,10,2.400379
9.0,9,2.437082
9.0,9,2.475456
10.0,10,2.516363
10.0,10,2.559786
10.0,10,2.602267
9.0,9,2.630224
11.0,11,2.66889
10.0,10,2.70176
10.0,10,2.742253
9.0,9,2.774806
10.0,10,2.814219
9.0,9,2.846921
10.0,10,2.880075
8.0,8,2.911484
9.0,9,2.946924
10.0,10,2.980635
10.0,10,3.023197
9.0,9,3.052611
10.0,10,3.089717
10.0,10,3.125127
9.0,9,3.157913
9.0,9,3.189986
10.0,10,3.22937
9.0,9,3.262331
10.0,10,3.298969
9.0,9,3.334457
16.0,16,3.389634
9.0,9,3.424767
9.0,9,3.457728
10.0,10,3.500004
8.0,8,3.531212
9.0,9,3.565625
9.0,9,3.59539
9.0,9,3.633692
8.0,8,3.66341
11.0,11,3.702722
9.0,9,3.742195
9.0,9,3.771678
8.0,8,3.803467
10.0,10,3.84177
9.0,9,3.883397
10.0,10,3.92258
11.0,11,3.964817
9.0,9,3.998152
9.0,9,4.031199
9.0,9,4.066796
10.0,10,4.104114
9.0,9,4.136895
10.0,10,4.175801
9.0,9,4.233449
15.0,15,4.290218
10.0,10,4.324003
9.0,9,4.363085
10.0,10,4.397299
9.0,9,4.430431
9.0,9,4.468872
8.0,8,4.497561
9.0,9,4.526956
10.0,10,4.559706
10.0,10,4.593833
10.0,10,4.628716
9.0,9,4.665899
10.0,10,4.694991
8.0,8,4.723221
10.0,10,4.754661
8.0,8,4.781657
10.0,10,4.812627
9.0,9,4.843086
10.0,10,4.879385
8.0,8,4.908035
9.0,9,4.940524
9.0,9,4.974425
10.0,10,5.011738
9.0,9,5.044418
9.0,9,5.07607
10.0,10,5.112947
10.0,10,5.150466
9.0,9,5.186115
9.0,9,5.218766
8.0,8,5.246894
9.0,9,5.279327
9.0,9,5.310659
10.0,10,5.345926
11.0,11,5.383475
11.0,11,5.423726
10.0,10,5.460477
8.0,8,5.488454
9.0,9,5.524098
9.0,9,5.552944
10.0,10,5.592446
10.0,10,5.628981
9.0,9,5.664278
10.0,10,5.697744
10.0,10,5.739668
10.0,10,5.776907
10.0,10,5.820061
13.0,13,5.869159
10.0,10,5.906047
9.0,9,5.946861
9.0,9,5.97819
8.0,8,6.009872
9.0,9,6.045562
10.0,10,6.109794
10.0,10,6.145814
9.0,9,6.178931
10.0,10,6.21491
11.0,11,6.252481
10.0,10,6.28267
10.0,10,6.314885
10.0,10,6.352896
10.0,10,6.386364
9.0,9,6.417083
9.0,9,6.450483
9.0,9,6.477422
10.0,10,6.509438
9.0,9,6.544079
10.0,10,6.580386
10.0,10,6.607699
11.0,11,6.651344
9.0,9,6.684159
8.0,8,6.713126
10.0,10,6.759984
