#{"t_start": 1718462887.2558832, "env_id": "CartPole-v1"}
r,l,t
10.0,10,11.334192
10.0,10,11.37171
9.0,9,11.410827
9.0,9,11.446077
9.0,9,11.480262
10.0,10,11.523342
9.0,9,11.554879
10.0,10,11.595511
8.0,8,11.624629
8.0,8,11.652368
11.0,11,11.713438
10.0,10,11.752086
11.0,11,11.78893
10.0,10,11.82571
9.0,9,11.861171
10.0,10,11.894434
9.0,9,11.931746
9.0,9,11.96699
10.0,10,12.004673
9.0,9,12.037859
9.0,9,12.073617
8.0,8,12.10196
9.0,9,12.138
9.0,9,12.171613
12.0,12,12.213987
9.0,9,12.249693
10.0,10,12.292673
9.0,9,12.327496
9.0,9,12.36303
10.0,10,12.406001
9.0,9,12.439878
9.0,9,12.472886
10.0,10,12.508947
9.0,9,12.54542
10.0,10,12.581843
9.0,9,12.615008
9.0,9,12.652151
9.0,9,12.684935
9.0,9,12.717232
9.0,9,12.754158
10.0,10,12.791883
9.0,9,12.826906
10.0,10,12.865072
9.0,9,12.898008
9.0,9,12.943669
10.0,10,12.979007
9.0,9,13.008362
8.0,8,13.042555
9.0,9,13.078891
10.0,10,13.112029
9.0,9,13.147818
10.0,10,13.185629
11.0,11,13.225988
10.0,10,13.260023
9.0,9,13.289871
9.0,9,13.324616
11.0,11,13.372078
9.0,9,13.405933
10.0,10,13.439127
10.0,10,13.48261
10.0,10,13.516526
12.0,12,13.557236
10.0,10,13.593564
9.0,9,13.646098
10.0,10,13.686484
9.0,9,13.718732
10.0,10,13.75345
9.0,9,13.788986
10.0,10,13.829262
10.0,10,13.86295
10.0,10,13.902447
10.0,10,13.936538
9.0,9,13.974757
9.0,9,14.007867
10.0,10,14.041441
9.0,9,14.079672
11.0,11,14.114876
8.0,8,14.143283
10.0,10,14.182703
9.0,9,14.215186
9.0,9,14.247564
9.0,9,14.282426
8.0,8,14.310899
12.0,12,14.35569
8.0,8,14.386842
10.0,10,14.420525
10.0,10,14.460533
10.0,10,14.497324
10.0,10,14.534132
12.0,12,14.576021
9.0,9,14.611793
10.0,10,14.645607
8.0,8,14.673546
9.0,9,14.711509
8.0,8,14.743197
8.0,8,14.771575
9.0,9,14.807562
9.0,9,14.83729
10.0,10,14.877166
9.0,9,14.91286
11.0,11,14.953851
9.0,9,14.983562
9.0,9,15.018914
10.0,10,15.056706
10.0,10,15.094527
10.0,10,15.134277
10.0,10,15.168676
10.0,10,15.205322
10.0,10,15.242291
11.0,11,15.283572
9.0,9,15.319325
9.0,9,15.351889
10.0,10,15.384412
9.0,9,15.42069
9.0,9,15.454102
10.0,10,15.511229
10.0,10,15.549667
9.0,9,15.585284
9.0,9,15.618906
9.0,9,15.65482
9.0,9,15.687879
8.0,8,15.716419
8.0,8,15.747897
8.0,8,15.779096
10.0,10,15.812737
9.0,9,15.849404
10.0,10,15.889292
9.0,9,15.919182
10.0,10,15.959041
9.0,9,15.994859
11.0,11,16.033265
11.0,11,16.077317
9.0,9,16.109956
10.0,10,16.147197
8.0,8,16.178435
8.0,8,16.205818
9.0,9,16.239052
10.0,10,16.278096
9.0,9,16.307696
8.0,8,16.339522
8.0,8,16.370885
9.0,9,16.40292
10.0,10,16.439291
8.0,8,16.474025
11.0,11,16.509365
10.0,10,16.54615
10.0,10,16.582709
10.0,10,16.619463
10.0,10,16.656354
10.0,10,16.695283
9.0,9,16.724952
10.0,10,16.764822
9.0,9,16.80065
9.0,9,16.828864
9.0,9,16.858014
9.0,9,16.896347
9.0,9,16.925311
8.0,8,16.956219
9.0,9,16.988112
10.0,10,17.024285
10.0,10,17.061614
10.0,10,17.096868
12.0,12,17.138156
11.0,11,17.17672
10.0,10,17.216245
10.0,10,17.249786
9.0,9,17.287711
9.0,9,17.321134
10.0,10,17.354839
