#{"t_start": 1719344168.0307367, "env_id": "CartPoleAggregated-v1"}
r,l,t
15.0,15,0.713482
22.0,22,2.072649
16.0,16,2.109772
36.0,36,3.941767
10.0,10,5.599855
19.0,19,5.641373
18.0,18,7.401893
23.0,23,7.451431
33.0,33,9.265901
32.0,32,11.139215
45.0,45,14.887693
91.0,91,20.528753
14.0,14,20.559731
13.0,13,22.379043
62.0,62,26.657154
87.0,87,30.368741
57.0,57,33.969619
29.0,29,35.839425
78.0,78,39.405993
105.0,105,46.6951
47.0,47,48.762103
68.0,68,52.353405
102.0,102,58.050299
34.0,34,59.847257
29.0,29,61.704899
118.0,118,67.560405
251.0,251,80.085132
318.0,318,93.363575
449.0,449,109.281076
500.0,500,126.840852
500.0,500,142.532769
500.0,500,158.250915
500.0,500,175.32955
500.0,500,192.832505
500.0,500,211.781708
500.0,500,226.04045
500.0,500,244.092953
500.0,500,263.248181
500.0,500,278.803844
500.0,500,297.779984
500.0,500,311.85147
500.0,500,329.354168
500.0,500,348.654436
500.0,500,362.85671
500.0,500,383.44895
500.0,500,397.973613
500.0,500,414.025982
500.0,500,433.332012
500.0,500,447.295605
