#{"t_start": 1718715479.3157458, "env_id": "CartPoleAggregated-v1"}
r,l,t
25.0,25,0.730014
11.0,11,2.580696
41.0,41,4.42549
14.0,14,4.458246
37.0,37,6.023167
9.0,9,7.771945
15.0,15,7.807374
62.0,62,11.503188
34.0,34,13.108197
29.0,29,14.96196
41.0,41,16.879644
40.0,40,20.523022
23.0,23,20.576761
50.0,50,24.343339
56.0,56,28.107664
89.0,89,31.862478
136.0,136,41.16738
417.0,417,58.127598
198.0,198,66.748877
324.0,324,81.084142
500.0,500,99.227155
500.0,500,120.479096
273.0,273,131.534746
500.0,500,148.290879
500.0,500,165.646169
500.0,500,182.666507
500.0,500,197.25856
500.0,500,213.221571
500.0,500,230.766668
500.0,500,246.963748
500.0,500,262.371466
500.0,500,278.916707
500.0,500,296.842694
500.0,500,314.505571
500.0,500,332.109172
500.0,500,344.981569
500.0,500,362.848176
500.0,500,378.834138
500.0,500,394.921082
500.0,500,413.57446
500.0,500,428.021691
500.0,500,445.86862
