#{"t_start": 1718715479.311694, "env_id": "CartPoleAggregated-v1"}
r,l,t
15.0,15,0.711141
14.0,14,0.743431
53.0,53,4.440482
33.0,33,5.99746
40.0,40,7.819691
27.0,27,9.510264
37.0,37,11.520044
11.0,11,13.07048
27.0,27,14.913311
38.0,38,16.82423
54.0,54,18.758424
46.0,46,22.464284
33.0,33,24.339907
46.0,46,26.258059
92.0,92,31.837161
219.0,219,44.952285
102.0,102,47.766362
174.0,174,55.899686
226.0,226,64.963059
500.0,500,85.668325
318.0,318,97.004638
500.0,500,118.494231
500.0,500,138.374191
500.0,500,155.262259
500.0,500,172.67364
500.0,500,187.792136
500.0,500,205.915912
500.0,500,220.408461
500.0,500,236.406461
500.0,500,253.796361
500.0,500,270.124216
500.0,500,289.405268
500.0,500,303.807803
500.0,500,320.021632
500.0,500,337.656807
500.0,500,352.122549
500.0,500,371.314287
500.0,500,385.866952
500.0,500,402.094684
500.0,500,420.481113
500.0,500,435.067288
