#{"t_start": 1718712210.4671817, "env_id": "CartPoleNoVel-v1"}
r,l,t
15.0,15,0.707196
13.0,13,0.737229
29.0,29,2.164988
29.0,29,4.05163
12.0,12,6.164956
32.0,32,8.036783
19.0,19,8.076553
10.0,10,8.098805
33.0,33,9.972656
30.0,30,11.80518
29.0,29,13.643303
25.0,25,15.520473
16.0,16,17.099341
23.0,23,17.152745
39.0,39,20.6978
64.0,64,24.513495
75.0,75,28.084914
180.0,180,37.715453
254.0,254,47.853582
245.0,245,62.757972
236.0,236,73.602407
178.0,178,79.009609
261.0,261,88.26388
303.0,303,102.862281
246.0,246,114.591605
348.0,348,129.354516
282.0,282,140.205205
334.0,334,149.762336
226.0,226,162.85832
188.0,188,171.632818
214.0,214,181.852928
228.0,228,192.187216
180.0,180,200.127826
256.0,256,210.330568
229.0,229,215.988331
193.0,193,229.012754
498.0,498,245.920857
500.0,500,262.528394
500.0,500,282.786467
500.0,500,298.872021
500.0,500,319.749696
500.0,500,337.644483
500.0,500,354.035828
500.0,500,373.113261
500.0,500,389.806425
500.0,500,408.890441
500.0,500,425.320178
500.0,500,441.507296
500.0,500,461.810656
500.0,500,478.100482
