#{"t_start": 1718712210.471754, "env_id": "CartPoleNoVel-v1"}
r,l,t
13.0,13,0.697897
19.0,19,0.741744
60.0,60,4.063338
15.0,15,6.183867
29.0,29,8.045495
22.0,22,8.091717
20.0,20,9.934367
30.0,30,11.768986
13.0,13,11.798078
20.0,20,13.618171
20.0,20,15.482234
28.0,28,17.086583
10.0,10,17.110575
48.0,48,18.950289
32.0,32,20.748647
79.0,79,26.329351
91.0,91,31.775186
123.0,123,35.981589
247.0,247,47.830586
139.0,139,57.079257
189.0,189,66.421064
335.0,335,78.996147
194.0,194,85.811311
362.0,362,101.113742
188.0,188,110.781927
272.0,272,124.628018
264.0,264,134.064068
291.0,291,144.546901
346.0,346,157.344605
197.0,197,166.869903
228.0,228,179.611659
222.0,222,189.938667
190.0,190,196.669531
215.0,215,207.697181
500.0,500,226.875685
424.0,424,240.305187
500.0,500,258.061868
500.0,500,277.405591
500.0,500,294.768349
500.0,500,312.848801
500.0,500,332.035968
500.0,500,349.993949
500.0,500,368.995634
500.0,500,384.179169
500.0,500,401.975141
500.0,500,419.707386
500.0,500,437.410684
500.0,500,457.833739
500.0,500,472.511806
500.0,500,491.521798
