#{"t_start": 1718712210.4726062, "env_id": "CartPoleNoVel-v1"}
r,l,t
21.0,21,0.715897
25.0,25,2.136589
20.0,20,3.999529
9.0,9,4.021514
10.0,10,4.043659
12.0,12,6.156102
68.0,68,9.903303
12.0,12,9.930647
25.0,25,11.755685
12.0,12,11.782198
21.0,21,13.604125
16.0,16,13.638077
14.0,14,15.490522
25.0,25,17.088931
29.0,29,17.157623
107.0,107,24.524514
87.0,87,29.895751
200.0,200,39.541474
143.0,143,45.601291
182.0,182,55.239488
149.0,149,64.522655
330.0,330,76.67339
261.0,261,85.815828
331.0,331,99.241954
183.0,183,108.904039
273.0,273,122.763405
284.0,284,134.035818
500.0,500,149.729995
221.0,221,161.0502
224.0,224,173.40369
208.0,208,183.662055
196.0,196,192.141158
176.0,176,198.399908
274.0,274,210.315997
279.0,279,217.951709
500.0,500,238.078307
500.0,500,256.176757
500.0,500,275.202883
500.0,500,292.847063
500.0,500,310.939048
500.0,500,329.85394
500.0,500,348.019143
500.0,500,366.800929
500.0,500,381.971075
500.0,500,400.073179
500.0,500,417.589268
500.0,500,435.439669
500.0,500,455.946142
500.0,500,470.37763
500.0,500,489.674195
