#{"t_start": 1718712210.4699652, "env_id": "CartPoleNoVel-v1"}
r,l,t
17.0,17,0.709738
23.0,23,2.125122
13.0,13,2.153667
14.0,14,4.005332
31.0,31,6.162318
14.0,14,6.197894
38.0,38,8.076429
16.0,16,9.908809
18.0,18,9.95168
40.0,40,11.807202
31.0,31,13.649119
20.0,20,15.515106
36.0,36,17.140488
60.0,60,20.732069
167.0,167,29.950008
78.0,78,34.10432
35.0,35,35.934643
38.0,38,37.745976
150.0,150,45.569981
148.0,148,51.510132
134.0,134,60.886898
155.0,155,69.153261
381.0,381,81.280091
374.0,374,96.933781
183.0,183,106.575933
191.0,191,116.350056
266.0,266,127.007082
200.0,200,134.084627
268.0,268,144.515798
460.0,460,162.883178
203.0,203,173.425781
195.0,195,181.869402
219.0,219,192.184567
188.0,188,200.141525
287.0,287,212.129453
195.0,195,215.99699
500.0,500,236.187587
355.0,355,250.809388
500.0,500,267.778407
500.0,500,287.565865
500.0,500,305.664847
500.0,500,324.615615
500.0,500,342.689631
500.0,500,359.31207
459.0,459,376.203122
500.0,500,394.322233
500.0,500,411.911133
500.0,500,429.849911
500.0,500,445.894834
500.0,500,464.798852
500.0,500,483.158411
