#{"t_start": 1709892379.9135392, "env_id": "CartPole-v1"}
r,l,t
12.0,12,1.501942
14.0,14,1.515377
17.0,17,1.656245
28.0,28,1.760337
48.0,48,1.87437
21.0,21,1.956887
99.0,99,2.270612
52.0,52,2.447649
62.0,62,2.64339
74.0,74,2.874999
45.0,45,2.997835
30.0,30,3.093903
110.0,110,3.474447
34.0,34,3.575429
148.0,148,3.977755
173.0,173,4.507436
92.0,92,4.799867
132.0,132,5.17805
133.0,133,5.58641
83.0,83,5.770915
258.0,258,6.61382
167.0,167,7.071724
118.0,118,7.355366
184.0,184,7.897777
432.0,432,9.155236
373.0,373,10.232765
500.0,500,12.619753
500.0,500,14.216875
500.0,500,15.550341
500.0,500,17.038989
500.0,500,18.460814
500.0,500,19.893099
500.0,500,22.905176
500.0,500,24.390491
500.0,500,25.646963
500.0,500,27.034227
500.0,500,28.656175
500.0,500,30.540122
500.0,500,33.018882
500.0,500,34.525424
500.0,500,36.092846
500.0,500,37.558579
500.0,500,39.108548
500.0,500,40.631053
500.0,500,42.097757
