#{"t_start": 1709892379.9162936, "env_id": "CartPole-v1"}
r,l,t
20.0,20,1.506449
47.0,47,1.753434
61.0,61,1.87848
13.0,13,1.954986
36.0,36,2.063272
40.0,40,2.185971
29.0,29,2.272373
97.0,97,2.557546
114.0,114,2.981844
93.0,93,3.261068
69.0,69,3.477248
110.0,110,3.791636
109.0,109,4.142745
154.0,154,4.524894
165.0,165,5.08559
258.0,258,5.843769
134.0,134,6.215862
141.0,141,6.628305
105.0,105,6.969604
193.0,193,7.515576
270.0,270,8.24665
270.0,270,8.991677
265.0,265,9.828001
500.0,500,12.177868
500.0,500,13.748054
500.0,500,15.18641
500.0,500,16.575928
500.0,500,18.085799
500.0,500,19.529518
500.0,500,22.381373
500.0,500,24.067214
500.0,500,25.249446
500.0,500,26.581188
500.0,500,28.195223
500.0,500,29.887024
500.0,500,31.714753
500.0,500,34.117268
500.0,500,35.600175
500.0,500,37.150104
500.0,500,38.630364
500.0,500,40.16326
500.0,500,41.695686
