#{"t_start": 1709892379.9152634, "env_id": "CartPole-v1"}
r,l,t
25.0,25,1.512791
32.0,32,1.666773
27.0,27,1.769813
15.0,15,1.856142
14.0,14,1.868195
10.0,10,1.875976
34.0,34,1.968249
43.0,43,2.17045
13.0,13,2.183748
383.0,383,3.395104
45.0,45,3.569027
35.0,35,3.677702
166.0,166,4.146333
128.0,128,4.50843
110.0,110,4.812544
110.0,110,5.175629
205.0,205,5.76189
267.0,267,6.536232
148.0,148,6.983128
146.0,146,7.428679
229.0,229,8.069649
500.0,500,9.445176
500.0,500,11.89331
500.0,500,13.430861
500.0,500,14.847045
500.0,500,16.306975
500.0,500,17.778443
500.0,500,19.166691
500.0,500,20.608531
500.0,500,23.662791
500.0,500,25.00781
500.0,500,26.255813
500.0,500,27.777688
500.0,500,29.51022
500.0,500,31.410503
500.0,500,33.749021
500.0,500,35.299197
500.0,500,36.781815
500.0,500,38.328121
500.0,500,39.863029
500.0,500,41.326482
