#{"t_start": 1709892379.9174562, "env_id": "CartPole-v1"}
r,l,t
25.0,25,1.510674
15.0,15,1.649926
28.0,28,1.753554
15.0,15,1.766872
27.0,27,1.864103
15.0,15,1.875264
27.0,27,1.962997
27.0,27,2.064434
45.0,45,2.190211
114.0,114,2.552914
112.0,112,2.974453
185.0,185,3.487833
116.0,116,3.872719
128.0,128,4.235033
142.0,142,4.621965
136.0,136,5.084549
100.0,100,5.390775
280.0,280,6.204928
205.0,205,6.794536
179.0,179,7.332368
181.0,181,7.793549
461.0,461,9.149261
254.0,254,9.917713
500.0,500,12.25783
500.0,500,13.844473
500.0,500,15.202801
500.0,500,16.65694
500.0,500,18.174997
500.0,500,19.545919
500.0,500,22.486122
500.0,500,24.139478
500.0,500,25.326688
500.0,500,26.673629
500.0,500,28.216454
500.0,500,30.002552
500.0,500,31.806905
500.0,500,34.137002
500.0,500,35.694042
500.0,500,37.239767
500.0,500,38.721081
500.0,500,40.250638
500.0,500,41.713279
