#{"t_start": 1709892379.912613, "env_id": "CartPole-v1"}
r,l,t
25.0,25,1.515339
30.0,30,1.667757
44.0,44,1.858612
69.0,69,2.056761
14.0,14,2.071619
44.0,44,2.262635
30.0,30,2.283103
45.0,45,2.455743
193.0,193,3.087973
172.0,172,3.595675
121.0,121,3.972389
117.0,117,4.327387
166.0,166,4.808476
147.0,147,5.289015
89.0,89,5.504732
300.0,300,6.423409
129.0,129,6.794879
186.0,186,7.337046
321.0,321,8.238614
234.0,234,8.89158
255.0,255,9.629259
500.0,500,12.001162
500.0,500,13.550038
500.0,500,15.014928
500.0,500,16.40627
500.0,500,17.894062
500.0,500,19.354017
500.0,500,20.713601
500.0,500,23.859618
500.0,500,25.095133
500.0,500,26.3474
500.0,500,27.973449
500.0,500,29.648205
500.0,500,31.520477
500.0,500,33.932609
500.0,500,35.408393
500.0,500,36.961416
500.0,500,38.438426
500.0,500,39.970135
500.0,500,41.506603
