#{"t_start": 1719342295.9089074, "env_id": "CartPoleAggregated-v1"}
r,l,t
27.0,27,0.724917
16.0,16,2.190332
27.0,27,3.647747
19.0,19,3.686305
14.0,14,7.636125
29.0,29,8.860041
17.0,17,8.889162
42.0,42,10.297059
17.0,17,11.722567
35.0,35,13.185092
26.0,26,14.726568
28.0,28,16.133449
38.0,38,17.732757
51.0,51,20.787318
58.0,58,22.486837
31.0,31,24.061789
71.0,71,28.848212
98.0,98,33.834575
23.0,23,33.912724
26.0,26,35.555429
53.0,53,38.776744
36.0,36,40.353037
62.0,62,43.46038
127.0,127,49.744494
500.0,500,69.112453
