#{"t_start": 1719343627.035321, "env_id": "CartPoleAggregated-v1"}
r,l,t
27.0,27,0.727833
11.0,11,2.13633
12.0,12,2.162826
35.0,35,3.283672
15.0,15,4.32185
12.0,12,4.345593
13.0,13,4.370635
15.0,15,7.383313
18.0,18,7.421806
12.0,12,8.767368
10.0,10,8.787714
14.0,14,10.201351
15.0,15,10.231361
18.0,18,11.787769
28.0,28,11.850936
14.0,14,13.305573
45.0,45,14.78213
21.0,21,16.2732
38.0,38,17.731091
26.0,26,19.26328
72.0,72,22.957947
62.0,62,26.573103
86.0,86,31.273459
98.0,98,35.901514
271.0,271,48.637844
18.0,18,50.173823
16.0,16,50.213443
500.0,500,71.096051
500.0,500,89.902625
500.0,500,110.015473
500.0,500,128.447139
500.0,500,147.177562
500.0,500,168.072634
500.0,500,186.704174
500.0,500,208.636215
500.0,500,228.605354
500.0,500,247.902804
500.0,500,269.614059
500.0,500,287.862165
500.0,500,309.499969
500.0,500,326.457907
500.0,500,346.473608
500.0,500,365.347489
500.0,500,383.775264
500.0,500,405.44218
500.0,500,423.065297
342.0,342,435.303233
500.0,500,456.322974
500.0,500,475.005251
500.0,500,494.207709
