#{"t_start": 1719343627.0343592, "env_id": "CartPoleAggregated-v1"}
r,l,t
25.0,25,0.724427
20.0,20,2.152589
26.0,26,3.256233
12.0,12,3.280187
12.0,12,3.303302
22.0,22,4.356417
12.0,12,7.361121
32.0,32,8.749255
19.0,19,8.788604
11.0,11,8.811156
14.0,14,10.223627
11.0,11,10.245733
30.0,30,11.833457
13.0,13,13.276184
14.0,14,13.317677
23.0,23,14.745456
18.0,18,14.782971
21.0,21,16.274018
12.0,12,16.29929
28.0,28,17.736684
35.0,35,19.290663
29.0,29,21.072622
68.0,68,24.78637
44.0,44,28.095711
308.0,308,42.127983
99.0,99,47.079974
500.0,500,68.662261
500.0,500,87.518177
500.0,500,105.38543
500.0,500,125.977067
500.0,500,144.234647
500.0,500,165.411252
424.0,424,180.288121
500.0,500,200.770202
500.0,500,222.745369
500.0,500,240.958151
500.0,500,263.700079
500.0,500,282.627715
500.0,500,300.697246
500.0,500,321.695546
500.0,500,340.079077
500.0,500,360.558872
500.0,500,378.828997
500.0,500,396.283758
303.0,303,411.869753
494.0,494,429.456466
500.0,500,448.171462
500.0,500,468.560773
500.0,500,487.705502
