#{"t_start": 1719343627.03268, "env_id": "CartPoleAggregated-v1"}
r,l,t
15.0,15,0.70467
35.0,35,2.165295
11.0,11,2.189541
16.0,16,3.270443
11.0,11,3.292727
30.0,30,4.360312
39.0,39,7.42179
23.0,23,8.790123
15.0,15,10.206194
35.0,35,11.797408
13.0,13,11.827675
28.0,28,13.313416
52.0,52,16.250411
22.0,22,16.296037
73.0,73,21.019089
43.0,43,22.932646
81.0,81,26.605029
65.0,65,29.682237
163.0,163,38.941756
190.0,190,47.089205
187.0,187,56.024092
500.0,500,75.278106
248.0,248,84.479866
500.0,500,102.34104
500.0,500,122.93026
500.0,500,141.152543
500.0,500,162.210703
500.0,500,181.745151
500.0,500,200.836614
500.0,500,222.797373
500.0,500,242.390249
500.0,500,263.752254
500.0,500,282.679686
500.0,500,302.178975
500.0,500,321.744732
500.0,500,341.560834
500.0,500,360.626856
500.0,500,378.894641
500.0,500,397.7799
500.0,500,418.180768
500.0,500,436.780409
500.0,500,457.83455
411.0,411,472.665207
500.0,500,491.806579
