#{"t_start": 1719343627.0376825, "env_id": "CartPoleAggregated-v1"}
r,l,t
40.0,40,2.138825
18.0,18,2.177693
13.0,13,3.253184
13.0,13,3.279203
12.0,12,3.302238
17.0,17,4.345585
38.0,38,7.404794
59.0,59,10.231419
22.0,22,11.797505
12.0,12,11.8255
19.0,19,13.288407
9.0,9,13.311621
14.0,14,13.346514
15.0,15,14.752939
13.0,13,14.779913
16.0,16,16.260686
32.0,32,17.705765
38.0,38,19.263991
16.0,16,19.302279
95.0,95,24.795039
125.0,125,31.315445
179.0,179,40.571827
238.0,238,51.807727
389.0,389,68.594664
500.0,500,86.045582
500.0,500,105.326332
500.0,500,124.472598
500.0,500,142.70681
500.0,500,165.352036
500.0,500,183.380946
500.0,500,203.915106
500.0,500,225.991773
500.0,500,244.238123
500.0,500,266.76806
500.0,500,284.564306
500.0,500,303.820427
487.0,487,323.257476
500.0,500,343.147574
500.0,500,362.951712
500.0,500,380.422178
500.0,500,399.33949
500.0,500,419.733532
500.0,500,438.357359
500.0,500,459.444269
449.0,449,476.38047
500.0,500,494.261111
